id,origin,sourceCardId,unit,domain,learningObjective,command,section,sectionFocus,marks,hasMedia,question
derived-y9x-075-9i-explain-why-simple-machines-do-not-mean-less-energy-is-needed,open-answer-card,y9x-075-9i-explain-why-simple-machines-do-not-mean-less-energy-is-needed,9I,physics,9I-energy-work,explain,Section B,Written reasoning,3,no,Explain why simple machines do not mean less energy is needed.
derived-y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,open-answer-card,y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,9I,physics,9I-speed,graph,Section C,Data and calculations,3,yes,Represent part of a journey on a distance-time graph.
derived-y9x-078-9i-explain-the-effect-of-friction-on-force-needed-to-move-a-load,open-answer-card,y9x-078-9i-explain-the-effect-of-friction-on-force-needed-to-move-a-load,9I,physics,9I-energy-work,explain,Section B,Written reasoning,3,no,Explain the effect of friction on force needed to move a load.
derived-y9x-079-9i-explain-why-friction-usually-means-more-energy-is-needed-with-a-simple-machine,open-answer-card,y9x-079-9i-explain-why-friction-usually-means-more-energy-is-needed-with-a-simple-machine,9I,physics,9I-energy-work,explain,Section B,Written reasoning,3,no,Explain why friction usually means more energy is needed with a simple machine.
derived-y9x-080-9i-explain-how-ramp-angle-affects-friction-and-required-force-using-force-component,open-answer-card,y9x-080-9i-explain-how-ramp-angle-affects-friction-and-required-force-using-force-component,9I,physics,9I-energy-work,explain,Section B,Written reasoning,3,no,Explain how ramp angle affects friction and required force using force components.
derived-y9x-081-9b-describe-what-gas-exchange-is-and-why-it-needs-to-occur-in-plants,open-answer-card,y9x-081-9b-describe-what-gas-exchange-is-and-why-it-needs-to-occur-in-plants,9B,biology,9B-plant-transport,explain,Section B,Written reasoning,3,no,Describe what gas exchange is and why it needs to occur in plants.
derived-y9x-082-9b-describe-how-a-leaf-is-adapted-so-palisade-cells-get-the-resources-they-need,open-answer-card,y9x-082-9b-describe-how-a-leaf-is-adapted-so-palisade-cells-get-the-resources-they-need,9B,biology,9B-plant-transport,describe,Section B,Written reasoning,2,no,Describe how a leaf is adapted so palisade cells get the resources they need.
derived-y9x-083-9b-describe-why-starch-in-chloroplasts-is-broken-down,open-answer-card,y9x-083-9b-describe-why-starch-in-chloroplasts-is-broken-down,9B,biology,9B-plant-transport,explain,Section B,Written reasoning,3,no,Describe why starch in chloroplasts is broken down.
derived-y9x-084-9b-suggest-when-starch-is-broken-down-in-chloroplasts-and-explain-why,open-answer-card,y9x-084-9b-suggest-when-starch-is-broken-down-in-chloroplasts-and-explain-why,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,no,Suggest when starch is broken down in chloroplasts and explain why.
derived-y9x-085-9b-explain-why-plants-do-not-grow-well-if-the-soil-lacks-nitrates,open-answer-card,y9x-085-9b-explain-why-plants-do-not-grow-well-if-the-soil-lacks-nitrates,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,no,Explain why plants do not grow well if the soil lacks nitrates.
derived-y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,open-answer-card,y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,9B,biology,9B-plant-products,describe,Section B,Written reasoning,3,yes,Put the main stages of germination into a logical order.
derived-y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions,open-answer-card,y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,yes,List three substances found in seeds and explain their functions.
derived-y9x-091-9b-explain-why-phosphates-and-potassium-are-important-nutrients-for-plants,open-answer-card,y9x-091-9b-explain-why-phosphates-and-potassium-are-important-nutrients-for-plants,9B,biology,9B-photosynthesis,explain,Section B,Written reasoning,3,no,Explain why phosphates and potassium are important nutrients for plants.
derived-y9x-092-9b-define-biodiversity,open-answer-card,y9x-092-9b-define-biodiversity,9B,biology,9B-food-webs,explain,Section B,Written reasoning,2,no,A pesticide reduces the number of insect species living in a field. What has happened to biodiversity in that area?
derived-y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field,open-answer-card,y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field,9B,biology,9B-food-webs,describe,Section B,Written reasoning,2,yes,Describe how sampling can estimate biodiversity in a field.
derived-y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,open-answer-card,y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,9B,biology,9B-photosynthesis,identify,Section A,Core knowledge,1,yes,Label the main processes in the carbon cycle.
derived-y9x-096-9b-explain-how-farming-affects-the-carbon-cycle,open-answer-card,y9x-096-9b-explain-how-farming-affects-the-carbon-cycle,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,yes,Explain how farming affects the carbon cycle.
derived-y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,open-answer-card,y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,9B,biology,9B-plant-products,state,Section A,Core knowledge,1,yes,Give advantages and disadvantages of clearing land for farming.
derived-y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides,open-answer-card,y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides,9B,biology,9B-plant-products,state,Section A,Core knowledge,1,yes,Give advantages and disadvantages of insecticides and herbicides.
derived-y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers,open-answer-card,y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers,9B,biology,9B-plant-products,state,Section A,Core knowledge,1,yes,Give advantages and disadvantages of fertilisers.
derived-y9x-101-9j-state-where-electrons-are-found-in-an-atom,open-answer-card,y9x-101-9j-state-where-electrons-are-found-in-an-atom,9J,physics,9J-static,state,Section A,Core knowledge,1,no,State where electrons are found in an atom.
derived-y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material,open-answer-card,y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material,9J,physics,9J-static,explain,Section B,Written reasoning,3,yes,Explain why only negative charges transfer onto an insulating material.
derived-y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge,open-answer-card,y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge,9J,physics,9J-static,explain,Section B,Written reasoning,3,yes,Explain why a rubbed polythene rod has an overall negative charge.
derived-y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other,open-answer-card,y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other,9J,physics,9J-static,describe,Section B,Written reasoning,2,yes,Describe how charged objects attract or repel each other.
derived-y9x-109-9j-describe-how-to-increase-resistance-in-a-circuit,open-answer-card,y9x-109-9j-describe-how-to-increase-resistance-in-a-circuit,9J,physics,9J-resistance,describe,Section B,Written reasoning,2,no,Describe how to increase resistance in a circuit.
derived-y9x-111-9j-explain-which-wire-has-higher-resistance-a-long-thin-wire-or-a-short-thick-wire-,open-answer-card,y9x-111-9j-explain-which-wire-has-higher-resistance-a-long-thin-wire-or-a-short-thick-wire-,9J,physics,9J-resistance,explain,Section B,Written reasoning,3,no,Explain which wire has higher resistance: a long thin wire or a short thick wire of the same material.
derived-y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,open-answer-card,y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,9J,physics,9J-resistance,explain,Section C,Data and calculations,3,yes,Explain how a current–voltage graph shows which resistor has the higher resistance.
derived-y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,open-answer-card,y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,9J,physics,9J-resistance,describe,Section C,Data and calculations,4,yes,Plan an investigation into how wire thickness affects resistance.
derived-y9x-114-9j-explain-why-copper-is-commonly-used-for-wires-in-circuits,open-answer-card,y9x-114-9j-explain-why-copper-is-commonly-used-for-wires-in-circuits,9J,physics,9J-resistance,explain,Section B,Written reasoning,3,no,Explain why copper is commonly used for wires in circuits.
derived-y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits,open-answer-card,y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits,9J,physics,9J-circuits,describe,Section B,Written reasoning,2,yes,Describe how current behaves in series and parallel circuits.
derived-y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits,open-answer-card,y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits,9J,physics,9J-circuits,describe,Section B,Written reasoning,2,yes,Describe how voltage / potential difference behaves in series and parallel circuits.
derived-y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet,open-answer-card,y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet,9J,physics,9J-electromagnets,explain,Section B,Written reasoning,3,yes,Explain the difference between an electromagnet and a bar magnet.
derived-y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,open-answer-card,y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,9J,physics,9J-electromagnets,describe,Section B,Written reasoning,3,yes,"Predict how changing current, magnetic field strength or current direction affects a motor."
derived-y9x-124-9j-drax-has-mass-122-kg-on-a-planet-where-g-7-5-n-kg-calculate-his-weight,open-answer-card,y9x-124-9j-drax-has-mass-122-kg-on-a-planet-where-g-7-5-n-kg-calculate-his-weight,9J,physics,9J-fields,calculate,Section C,Data and calculations,2,no,Drax has mass 122 kg on a planet where g = 7.5 N/kg. Calculate his weight.
derived-y9x-126-9j-rocket-has-mass-47-kg-on-a-planet-where-g-22-8-n-kg-calculate-his-weight,open-answer-card,y9x-126-9j-rocket-has-mass-47-kg-on-a-planet-where-g-22-8-n-kg-calculate-his-weight,9J,physics,9J-fields,calculate,Section C,Data and calculations,2,no,Rocket has mass 47 kg on a planet where g = 22.8 N/kg. Calculate his weight.
derived-y9x-128-9j-mantis-has-mass-56-kg-and-weight-686-n-on-a-planet-calculate-g,open-answer-card,y9x-128-9j-mantis-has-mass-56-kg-and-weight-686-n-on-a-planet-calculate-g,9J,physics,9J-fields,calculate,Section C,Data and calculations,2,no,Mantis has mass 56 kg and weight 686 N on a planet. Calculate g.
derived-y9x-129-9j-groot-has-mass-34-kg-on-a-planet-where-g-6-8-n-kg-calculate-his-weight,open-answer-card,y9x-129-9j-groot-has-mass-34-kg-on-a-planet-where-g-6-8-n-kg-calculate-his-weight,9J,physics,9J-fields,calculate,Section C,Data and calculations,2,no,Groot has mass 34 kg on a planet where g = 6.8 N/kg. Calculate his weight.
derived-y9x-131-9j-oberon-has-about-1-3-times-the-mass-of-rhea-but-a-similar-diameter-which-moon-ha,open-answer-card,y9x-131-9j-oberon-has-about-1-3-times-the-mass-of-rhea-but-a-similar-diameter-which-moon-ha,9J,physics,9J-fields,identify,Section A,Core knowledge,2,no,Oberon has about 1.3 times the mass of Rhea but a similar diameter. Which moon has greater surface gravity?
derived-y9x-139-9i-a-river-section-is-40-km-and-the-stones-move-at-3-km-h-calculate-the-time-taken,open-answer-card,y9x-139-9i-a-river-section-is-40-km-and-the-stones-move-at-3-km-h-calculate-the-time-taken,9I,physics,9I-speed,calculate,Section C,Data and calculations,2,no,A river section is 40 km and the stones move at 3 km/h. Calculate the time taken.
derived-y9x-142-9i-a-moment-of-120-n-m-is-needed-using-a-lever-2-m-from-the-pivot-calculate-the-for,open-answer-card,y9x-142-9i-a-moment-of-120-n-m-is-needed-using-a-lever-2-m-from-the-pivot-calculate-the-for,9I,physics,9I-moments,calculate,Section C,Data and calculations,2,no,A moment of 120 N m is needed using a lever 2 m from the pivot. Calculate the force.
derived-y9x-144-9i-a-ramp-requires-1500-j-of-work-over-5-m-calculate-the-average-force,open-answer-card,y9x-144-9i-a-ramp-requires-1500-j-of-work-over-5-m-calculate-the-average-force,9I,physics,9I-energy-work,calculate,Section C,Data and calculations,2,no,A ramp requires 1500 J of work over 5 m. Calculate the average force.
derived-y9x-138-9j-match-common-circuit-symbols-to-their-component-names,open-answer-card,y9x-138-9j-match-common-circuit-symbols-to-their-component-names,9J,physics,9J-circuits,identify,Section A,Core knowledge,4,yes,"Use the circuit symbol grid. Match labels A–H to these components: cell, battery, open switch, closed switch, lamp, resistor, ammeter and voltmeter."
derived-y9x-148-9j-compare-current-and-voltage-in-the-two-circuits,open-answer-card,y9x-148-9j-compare-current-and-voltage-in-the-two-circuits,9J,physics,9J-circuits,describe,Section B,Written reasoning,4,yes,Use the circuit diagrams. Compare how current and voltage behave in Circuit A and Circuit B.
derived-y9x-153-9j-use-the-charge-pair-diagram-identify-which-pairs-repel-and-which-attract,open-answer-card,y9x-153-9j-use-the-charge-pair-diagram-identify-which-pairs-repel-and-which-attract,9J,physics,9J-static,identify,Section A,Core knowledge,1,yes,Use the charge-pair diagram. Identify which labelled pairs repel and which labelled pairs attract.
derived-y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,open-answer-card,y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,9J,physics,9J-static,identify,Section A,Core knowledge,2,yes,"Use the charge-transfer diagram. What particle has moved, and what overall charge does the rod gain?"
derived-y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,open-answer-card,y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,9J,physics,9J-electromagnets,identify,Section A,Core knowledge,4,yes,"Use the electromagnet diagram. Match labels A–D to the coil of wire, iron core, cell/battery and switch."
derived-y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load,open-answer-card,y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load,9J,physics,9J-electromagnets,identify,Section A,Core knowledge,4,yes,"Use the relay diagram. Match labels A–D to the control circuit, electromagnet, switch contacts and load/lamp."
derived-y9x-158-9j-use-the-relay-diagram-explain-why-a-relay-is-useful,open-answer-card,y9x-158-9j-use-the-relay-diagram-explain-why-a-relay-is-useful,9J,physics,9J-electromagnets,explain,Section B,Written reasoning,3,yes,Use the relay diagram. Explain why a relay is useful in an electrical system.
derived-y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming,open-answer-card,y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming,9B,biology,9B-farming-yield-impact,state,Section A,Core knowledge,1,yes,A farmer clears hedges and trees from a field. Give one benefit for farming and one environmental problem this can cause.
derived-y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,open-answer-card,y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,9B,biology,9B-farming-yield-impact,state,Section A,Core knowledge,2,no,What problem can be caused by clearing hedges and trees?
derived-y9r-004-9b-why-are-pesticides-used-on-crops,open-answer-card,y9r-004-9b-why-are-pesticides-used-on-crops,9B,biology,9B-farming-yield-impact,explain,Section B,Written reasoning,3,no,Why are pesticides used on crops?
derived-y9r-005-9b-what-problem-can-pesticides-cause,open-answer-card,y9r-005-9b-what-problem-can-pesticides-cause,9B,biology,9B-farming-yield-impact,state,Section A,Core knowledge,2,yes,What problem can pesticides cause?
derived-y9r-006-9b-why-are-fertilisers-used,open-answer-card,y9r-006-9b-why-are-fertilisers-used,9B,biology,9B-farming-yield-impact,explain,Section B,Written reasoning,3,no,Why are fertilisers used?
derived-y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,open-answer-card,y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,9B,biology,9B-farming-yield-impact,explain,Section B,Written reasoning,2,yes,Fertiliser washes from a field into a stream. What problem can this cause?
derived-y9r-008-9b-what-is-the-problem-with-planting-huge-areas-of-a-single-variety,open-answer-card,y9r-008-9b-what-is-the-problem-with-planting-huge-areas-of-a-single-variety,9B,biology,9B-farming-yield-impact,state,Section A,Core knowledge,1,no,What is the problem with planting huge areas of a single variety?
derived-y9r-010-9b-what-happens-to-the-energy-released-from-glucose-in-aerobic-respiration,open-answer-card,y9r-010-9b-what-happens-to-the-energy-released-from-glucose-in-aerobic-respiration,9B,biology,9B-photosynthesis,describe,Section B,Written reasoning,2,no,What happens to the energy released from glucose in aerobic respiration?
derived-y9r-012-9b-where-does-most-photosynthesis-happen-in-leaves,open-answer-card,y9r-012-9b-where-does-most-photosynthesis-happen-in-leaves,9B,biology,9B-photosynthesis,identify,Section A,Core knowledge,2,no,Where does most photosynthesis happen in leaves?
derived-y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,open-answer-card,y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,2,yes,What do exothermic reactions do to the surroundings?
derived-y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,open-answer-card,y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,2,yes,What do endothermic reactions do to the surroundings?
derived-y9r-015-9e-give-an-example-of-an-endothermic-reaction-from-the-revision-sheet,open-answer-card,y9r-015-9e-give-an-example-of-an-endothermic-reaction-from-the-revision-sheet,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,1,no,Give an example of an endothermic reaction from the revision sheet.
derived-y9r-016-9e-what-do-the-state-symbols-s-l-g-and-aq-mean,open-answer-card,y9r-016-9e-what-do-the-state-symbols-s-l-g-and-aq-mean,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,1,no,"What do the state symbols s, l, g and aq mean?"
derived-y9r-017-9e-what-is-made-when-calcium-carbonate-thermally-decomposes,open-answer-card,y9r-017-9e-what-is-made-when-calcium-carbonate-thermally-decomposes,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,1,no,What is made when calcium carbonate thermally decomposes?
derived-y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,open-answer-card,y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,3,no,"In peer review, what do scientists check in a paper?"
derived-y9r-019-9e-after-peer-review-what-can-a-paper-be-recommended-for,open-answer-card,y9r-019-9e-after-peer-review-what-can-a-paper-be-recommended-for,9E,chemistry,9E-energy-thermal-peer-review,state,Section A,Core knowledge,3,no,"After peer review, what can a paper be recommended for?"
derived-y9r-020-9e-how-are-metals-recycled-according-to-the-revision-sheet,open-answer-card,y9r-020-9e-how-are-metals-recycled-according-to-the-revision-sheet,9E,chemistry,9E-recycling-methods,describe,Section B,Written reasoning,2,yes,"How are metals recycled, according to the revision sheet?"
derived-y9r-021-9e-how-is-glass-recycled-according-to-the-revision-sheet,open-answer-card,y9r-021-9e-how-is-glass-recycled-according-to-the-revision-sheet,9E,chemistry,9E-recycling-methods,describe,Section B,Written reasoning,2,yes,"How is glass recycled, according to the revision sheet?"
derived-y9r-022-9e-how-is-paper-recycled-according-to-the-revision-sheet,open-answer-card,y9r-022-9e-how-is-paper-recycled-according-to-the-revision-sheet,9E,chemistry,9E-recycling-methods,describe,Section B,Written reasoning,2,yes,"How is paper recycled, according to the revision sheet?"
derived-y9r-023-9e-how-is-concrete-recycled-according-to-the-revision-sheet,open-answer-card,y9r-023-9e-how-is-concrete-recycled-according-to-the-revision-sheet,9E,chemistry,9E-recycling-methods,describe,Section B,Written reasoning,2,no,"How is concrete recycled, according to the revision sheet?"
derived-y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful,open-answer-card,y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful,9E,chemistry,9E-environment,explain,Section B,Written reasoning,3,yes,Give two reasons why recycling materials to use again is useful.
derived-y9r-025-9e-what-is-biomagnification,open-answer-card,y9r-025-9e-what-is-biomagnification,9E,chemistry,9E-environment,explain,Section B,Written reasoning,3,yes,"A toxin is eaten by small animals, and then many small animals are eaten by a predator. Why can toxin levels become highest in the predator?"
derived-y9r-026-9f-in-reactions-and-physical-changes-what-happens-to-the-number-of-atoms,open-answer-card,y9r-026-9f-in-reactions-and-physical-changes-what-happens-to-the-number-of-atoms,9F,chemistry,9F-changes,explain,Section B,Written reasoning,3,yes,Why is there no overall change in mass in a reaction or physical change?
derived-y9r-027-9f-what-do-the-large-numbers-in-an-equation-show,open-answer-card,y9r-027-9f-what-do-the-large-numbers-in-an-equation-show,9F,chemistry,9F-changes,identify,Section C,Data and calculations,1,no,What do the large numbers in an equation show?
derived-y9r-028-9f-what-do-the-letters-in-brackets-in-an-equation-show,open-answer-card,y9r-028-9f-what-do-the-letters-in-brackets-in-an-equation-show,9F,chemistry,9F-changes,identify,Section C,Data and calculations,2,no,What do the letters in brackets in an equation show?
derived-y9r-029-9f-what-does-an-atom-contain,open-answer-card,y9r-029-9f-what-does-an-atom-contain,9F,chemistry,9F-atomic-structure-periodic-table,state,Section A,Core knowledge,1,no,What does an atom contain?
derived-y9r-030-9f-what-is-the-atomic-number-or-proton-number,open-answer-card,y9r-030-9f-what-is-the-atomic-number-or-proton-number,9F,chemistry,9F-atomic-structure-periodic-table,state,Section A,Core knowledge,1,no,What is the atomic number or proton number?
derived-y9r-031-9f-how-are-elements-arranged-in-the-periodic-table,open-answer-card,y9r-031-9f-how-are-elements-arranged-in-the-periodic-table,9F,chemistry,9F-atomic-structure-periodic-table,describe,Section B,Written reasoning,2,no,How are elements arranged in the periodic table?
derived-y9r-032-9f-what-is-the-mass-number-of-an-atom,open-answer-card,y9r-032-9f-what-is-the-mass-number-of-an-atom,9F,chemistry,9F-atomic-structure-periodic-table,state,Section A,Core knowledge,1,no,What is the mass number of an atom?
derived-y9r-033-9f-what-are-groups-and-periods-in-the-periodic-table,open-answer-card,y9r-033-9f-what-are-groups-and-periods-in-the-periodic-table,9F,chemistry,9F-atomic-structure-periodic-table,state,Section A,Core knowledge,1,no,What are groups and periods in the periodic table?
derived-y9r-034-9f-what-do-metals-that-react-with-water-produce,open-answer-card,y9r-034-9f-what-do-metals-that-react-with-water-produce,9F,chemistry,9F-reactivity,state,Section A,Core knowledge,2,yes,What do metals that react with water produce?
derived-y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,open-answer-card,y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,9F,chemistry,9F-reactivity,state,Section A,Core knowledge,2,yes,What do metals that react with dilute acids produce?
derived-y9r-036-9f-what-is-an-oxidation-reaction-in-the-reactivity-series-section,open-answer-card,y9r-036-9f-what-is-an-oxidation-reaction-in-the-reactivity-series-section,9F,chemistry,9F-reactivity,state,Section A,Core knowledge,1,no,What is an oxidation reaction in the reactivity-series section?
derived-y9r-038-9f-what-is-the-word-equation-for-complete-combustion-of-a-hydrocarbon,open-answer-card,y9r-038-9f-what-is-the-word-equation-for-complete-combustion-of-a-hydrocarbon,9F,chemistry,9F-combustion-energy-rates,state,Section C,Data and calculations,1,yes,What is the word equation for complete combustion of a hydrocarbon?
derived-y9r-040-9f-why-is-an-input-of-energy-from-a-flame-or-spark-needed-to-start-combustion,open-answer-card,y9r-040-9f-why-is-an-input-of-energy-from-a-flame-or-spark-needed-to-start-combustion,9F,chemistry,9F-combustion-energy-rates,explain,Section B,Written reasoning,3,yes,Why is an input of energy from a flame or spark needed to start combustion?
derived-y9r-041-9f-what-increases-the-rate-of-reaction-according-to-the-revision-sheet,open-answer-card,y9r-041-9f-what-increases-the-rate-of-reaction-according-to-the-revision-sheet,9F,chemistry,9F-combustion-energy-rates,state,Section A,Core knowledge,1,yes,A student wants a reaction to happen faster. Give three changes from the revision sheet that could increase the rate.
derived-y9r-043-9f-where-do-most-metals-occur,open-answer-card,y9r-043-9f-where-do-most-metals-occur,9F,chemistry,9F-extraction,state,Section A,Core knowledge,2,no,Where do most metals occur?
derived-y9r-044-9f-which-metals-can-be-extracted-from-their-ores-by-heating-with-carbon,open-answer-card,y9r-044-9f-which-metals-can-be-extracted-from-their-ores-by-heating-with-carbon,9F,chemistry,9F-extraction,identify,Section A,Core knowledge,1,yes,A metal is zinc or below zinc in the reactivity series. Which extraction method can be used?
derived-y9r-045-9f-which-metals-need-electrolysis-to-extract-them-from-their-ores,open-answer-card,y9r-045-9f-which-metals-need-electrolysis-to-extract-them-from-their-ores,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,yes,A metal is above zinc in the reactivity series. Why is electrolysis needed to extract it from its ore?
derived-y9r-047-9i-what-can-forces-make-objects-do,open-answer-card,y9r-047-9i-what-can-forces-make-objects-do,9I,physics,9I-forces,state,Section A,Core knowledge,3,no,What can forces make objects do?
derived-y9r-049-9i-what-happens-to-air-resistance-as-a-falling-object-gets-faster,open-answer-card,y9r-049-9i-what-happens-to-air-resistance-as-a-falling-object-gets-faster,9I,physics,9I-forces,describe,Section B,Written reasoning,2,no,What happens to air resistance as a falling object gets faster?
derived-y9r-050-9i-what-has-happened-when-a-falling-object-reaches-terminal-velocity,open-answer-card,y9r-050-9i-what-has-happened-when-a-falling-object-reaches-terminal-velocity,9I,physics,9I-forces,explain,Section B,Written reasoning,2,no,A falling object is moving at terminal velocity. What has happened to air resistance and weight?
derived-y9r-051-9i-how-do-you-convert-a-speed-in-m-s-to-km-h,open-answer-card,y9r-051-9i-how-do-you-convert-a-speed-in-m-s-to-km-h,9I,physics,9I-speed,explain,Section B,Written reasoning,3,no,How do you convert a speed in m/s to km/h?
derived-y9r-052-9i-how-do-you-convert-a-speed-in-km-h-to-m-s,open-answer-card,y9r-052-9i-how-do-you-convert-a-speed-in-km-h-to-m-s,9I,physics,9I-speed,explain,Section B,Written reasoning,3,no,How do you convert a speed in km/h to m/s?
derived-y9r-053-9i-what-is-mean-speed,open-answer-card,y9r-053-9i-what-is-mean-speed,9I,physics,9I-speed,state,Section A,Core knowledge,1,no,What is mean speed?
derived-y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,open-answer-card,y9r-054-9i-what-is-the-relative-speed-of-a-car-travelling-at-50-km-h-compared-to-one-t,9I,physics,9I-speed,calculate,Section C,Data and calculations,2,no,One car travels at 50 km/h and another travels at 30 km/h in the same direction. What is the relative speed?
derived-y9r-055-9i-what-does-a-speed-time-graph-show,open-answer-card,y9r-055-9i-what-does-a-speed-time-graph-show,9I,physics,9I-speed-time-graphs,graph,Section C,Data and calculations,3,yes,What does a speed-time graph show?
derived-y9r-056-9i-what-do-horizontal-lines-show-on-a-speed-time-graph,open-answer-card,y9r-056-9i-what-do-horizontal-lines-show-on-a-speed-time-graph,9I,physics,9I-speed-time-graphs,graph,Section C,Data and calculations,3,yes,What do horizontal lines show on a speed-time graph?
derived-y9r-057-9i-what-do-sloping-lines-show-on-a-speed-time-graph,open-answer-card,y9r-057-9i-what-do-sloping-lines-show-on-a-speed-time-graph,9I,physics,9I-speed-time-graphs,graph,Section C,Data and calculations,3,yes,What do sloping lines show on a speed-time graph?
derived-y9r-058-9i-on-a-distance-time-graph-what-does-the-gradient-of-a-line-give,open-answer-card,y9r-058-9i-on-a-distance-time-graph-what-does-the-gradient-of-a-line-give,9I,physics,9I-speed,graph,Section C,Data and calculations,3,yes,"On a distance-time graph, what does the gradient of a line give?"
derived-y9r-062-9i-what-is-true-when-an-object-is-balanced,open-answer-card,y9r-062-9i-what-is-true-when-an-object-is-balanced,9I,physics,9I-moments,state,Section A,Core knowledge,1,no,What is true when an object is balanced?
derived-y9r-064-9i-what-is-the-formula-for-work-done,open-answer-card,y9r-064-9i-what-is-the-formula-for-work-done,9I,physics,9I-energy-work,state,Section C,Data and calculations,1,no,What is the formula for work done?
derived-y9r-065-9j-what-is-a-force-field,open-answer-card,y9r-065-9j-what-is-a-force-field,9J,physics,9J-fields,state,Section A,Core knowledge,1,yes,What is a force field?
