id,origin,sourceCardId,unit,domain,command,section,sectionFocus,marks,question,modelAnswer,formatSupport,retainedInWrittenExam
derived-y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,open-answer-card,y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,biology,describe,Section B,Written reasoning,2,Describe how limiting factors stop photosynthesis rate increasing.,"When light, carbon dioxide, water, temperature or chlorophyll becomes limiting, increasing other factors no longer increases photosynthesis rate.",linked-description,yes
derived-y9x-034-9e-name-common-conductors-and-insulators,open-answer-card,y9x-034-9e-name-common-conductors-and-insulators,9E,chemistry,state,Section A,Core knowledge,1,Name common conductors and insulators.,"Common conductors include metals such as copper and aluminium. Common insulators include plastic, rubber, glass, ceramics and dry wood.",short-fact,yes
derived-y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,open-answer-card,y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,chemistry,state,Section A,Core knowledge,1,"Name examples of ceramic, polymer and composite materials.","Ceramics: glass, brick, porcelain. Polymers: polythene, PVC, nylon. Composites: concrete, fibreglass, carbon fibre composite.",short-fact,yes
derived-y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,open-answer-card,y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,9E,chemistry,describe,Section B,Written reasoning,2,Describe the difference between biodegradable and non-biodegradable polymers.,Biodegradable polymers can be broken down by microorganisms; non-biodegradable polymers do not break down easily and persist in the environment.,linked-description,yes
derived-y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,open-answer-card,y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,9E,chemistry,describe,Section B,Written reasoning,2,Describe pollution problems caused by burning fossil fuels.,"Burning fossil fuels releases carbon dioxide, sulfur dioxide, nitrogen oxides and particulates, contributing to climate change, acid rain and poor air quality.",linked-description,yes
derived-y9x-040-9e-describe-what-a-composite-material-is,open-answer-card,y9x-040-9e-describe-what-a-composite-material-is,9E,chemistry,describe,Section B,Written reasoning,2,Describe what a composite material is.,A composite is made from two or more materials combined so the final material has useful properties from both.,linked-description,yes
derived-y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,open-answer-card,y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,chemistry,explain,Section B,Written reasoning,3,Explain the causes and problems of acid rain and the greenhouse effect.,Acid rain is caused by acidic gases such as sulfur dioxide and nitrogen oxides; it damages ecosystems and buildings. The greenhouse effect is increased by greenhouse gases and can cause global warming.,cause-effect,yes
derived-y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,open-answer-card,y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,chemistry,describe,Section B,Written reasoning,3,"Link uses of ceramics, polymers and composites to their properties.","Materials are chosen because their properties fit the job: ceramics are hard/heat resistant, polymers are light/flexible, and composites can be strong and light.",linked-description,yes
derived-y9x-044-9e-describe-how-polymers-are-formed-from-monomers,open-answer-card,y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,chemistry,describe,Section B,Written reasoning,2,Describe how polymers are formed from monomers.,Many small monomer molecules join together in polymerisation to form long-chain polymer molecules.,linked-description,yes
derived-y9x-045-9e-identify-thermal-decomposition-reactions,open-answer-card,y9x-045-9e-identify-thermal-decomposition-reactions,9E,chemistry,identify,Section A,Core knowledge,1,Identify thermal decomposition reactions.,Thermal decomposition is when a compound breaks down into simpler substances when heated.,label-or-feature,yes
derived-y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,open-answer-card,y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,chemistry,explain,Section B,Written reasoning,3,Explain advantages of recycling with specific examples.,"Recycling saves raw materials and energy, reduces landfill and can reduce pollution; for example, recycling aluminium uses less energy than extracting new aluminium.",cause-effect,yes
derived-y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,open-answer-card,y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,chemistry,explain,Section B,Written reasoning,2,"Justify using a ceramic, polymer or composite for a particular use.","Choose the material by matching properties to the use, such as using concrete for compressive strength or fibreglass for light, corrosion-resistant panels.",cause-effect,yes
derived-y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,open-answer-card,y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,9E,chemistry,explain,Section B,Written reasoning,3,Explain how crystal size depends on cooling speed.,Slow cooling gives particles more time to form larger crystals; fast cooling produces smaller crystals.,cause-effect,yes
derived-y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,open-answer-card,y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,9E,chemistry,explain,Section B,Written reasoning,3,Explain how properties of a material depend on bonding and structure.,"Strong bonds and rigid structures often give hardness and high melting point; chain length, cross-linking, fibres and layers affect strength and flexibility.",cause-effect,yes
derived-y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,open-answer-card,y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,chemistry,identify,Section A,Core knowledge,2,Classify exothermic and endothermic reactions by temperature change and energy transfer.,Exothermic reactions transfer energy to the surroundings and temperature rises. Endothermic reactions take energy from surroundings and temperature falls.,label-or-feature,yes
derived-y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,open-answer-card,y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,chemistry,explain,Section B,Written reasoning,3,Explain biomagnification of toxins through food chains.,"Persistent toxins can accumulate in organisms and become more concentrated at higher trophic levels, harming top predators most.",cause-effect,yes
derived-y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,open-answer-card,y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,chemistry,explain,Section B,Written reasoning,3,Suggest ways to reduce global warming and acid rain impacts.,"Use less fossil fuel, use renewable energy, remove sulfur from fuels, fit scrubbers to chimneys, improve efficiency, recycle and protect forests.",cause-effect,yes
derived-y9x-053-9f-describe-what-causes-rusting,open-answer-card,y9x-053-9f-describe-what-causes-rusting,9F,chemistry,describe,Section B,Written reasoning,2,Describe what causes rusting.,Rusting happens when iron or steel reacts with oxygen and water to form hydrated iron oxide.,linked-description,yes
derived-y9x-054-9f-describe-one-simple-method-of-preventing-rusting,open-answer-card,y9x-054-9f-describe-one-simple-method-of-preventing-rusting,9F,chemistry,describe,Section B,Written reasoning,2,Describe one simple method of preventing rusting.,"Painting, oiling, greasing or coating with plastic prevents water and oxygen from reaching the iron.",linked-description,yes
derived-y9x-055-9f-explain-why-rusting-is-a-problem,open-answer-card,y9x-055-9f-explain-why-rusting-is-a-problem,9F,chemistry,explain,Section B,Written reasoning,3,Explain why rusting is a problem.,"Rusting weakens iron and steel, damages structures, makes objects unsafe and creates repair or replacement costs.",cause-effect,yes
derived-y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,open-answer-card,y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,9F,chemistry,explain,Section B,Written reasoning,3,Use scientific words to explain how iron rusts.,"Iron atoms react with oxygen and water in an oxidation process to form hydrated iron oxide, which flakes away as rust.",cause-effect,yes
derived-y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,open-answer-card,y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,9F,chemistry,explain,Section B,Written reasoning,3,Explain why iron or steel is used for a purpose because of its properties.,"Iron and steel are strong, tough and relatively cheap, so they are useful for buildings, bridges, vehicles and machinery.",cause-effect,yes
derived-y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,open-answer-card,y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,9F,chemistry,describe,Section B,Written reasoning,2,Describe how iron ore is obtained from mining.,"Iron ore is removed from the ground by mining, crushed and processed before being transported for extraction in a blast furnace.",linked-description,yes
derived-y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,open-answer-card,y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,9F,chemistry,explain,Section B,Written reasoning,3,Explain how metal reactivity determines extraction method.,Metals less reactive than carbon can be extracted by carbon reduction; metals more reactive than carbon usually need electrolysis.,cause-effect,yes
derived-y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,open-answer-card,y9x-062-9f-explain-why-energy-needs-and-cost-matter-when-selecting-extraction-methods,9F,chemistry,explain,Section B,Written reasoning,3,Explain why energy needs and cost matter when selecting extraction methods.,"Extraction methods use different amounts of energy and equipment; electrolysis is expensive, so cost and energy demand affect industrial choices.",cause-effect,yes
derived-y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,open-answer-card,y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,9F,chemistry,describe,Section B,Written reasoning,2,Describe sacrificial protection for preventing rusting.,Sacrificial protection attaches a more reactive metal such as zinc or magnesium to iron so the other metal corrodes first.,linked-description,yes
derived-y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,open-answer-card,y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,9F,chemistry,explain,Section B,Written reasoning,3,Explain how sacrificial protection prevents rusting and link this to the reactivity series.,"A more reactive metal loses electrons more readily and corrodes instead of iron, protecting the iron because it is lower in the reactivity series.",cause-effect,yes
derived-y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,open-answer-card,y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,9F,chemistry,explain,Section B,Written reasoning,3,Explain why certain metals are used for sacrificial protection.,"Metals above iron in the reactivity series, such as zinc or magnesium, are used because they react more readily than iron.",cause-effect,yes
derived-y9x-066-9f-explain-other-reactions-taking-place-in-a-blast-furnace,open-answer-card,y9x-066-9f-explain-other-reactions-taking-place-in-a-blast-furnace,9F,chemistry,explain,Section B,Written reasoning,3,Explain other reactions taking place in a blast furnace.,"Carbon burns to carbon dioxide, carbon dioxide reacts with carbon to form carbon monoxide, and limestone decomposes then removes impurities as slag.",cause-effect,yes
derived-y9x-067-9f-use-balanced-equations-to-represent-reactions,open-answer-card,y9x-067-9f-use-balanced-equations-to-represent-reactions,9F,chemistry,explain,Section B,Written reasoning,2,Use balanced equations to represent reactions.,"Balanced equations have the same number of each type of atom on both sides, for example Fe2O3 + 3CO → 2Fe + 3CO2.",cause-effect,yes
derived-y9x-069-9i-recall-units-for-speed-and-explain-what-speed-means,open-answer-card,y9x-069-9i-recall-units-for-speed-and-explain-what-speed-means,9I,physics,explain,Section B,Written reasoning,3,Recall units for speed and explain what speed means.,Speed is distance travelled per unit time. Common units include m/s and km/h.,cause-effect,yes
derived-y9x-070-9i-explain-how-distance-and-time-affect-speed,open-answer-card,y9x-070-9i-explain-how-distance-and-time-affect-speed,9I,physics,explain,Section B,Written reasoning,3,Explain how distance and time affect speed.,"For the same time, more distance means higher speed. For the same distance, more time means lower speed.",cause-effect,yes
derived-y9x-071-9i-use-the-formula-relating-speed-distance-and-time,open-answer-card,y9x-071-9i-use-the-formula-relating-speed-distance-and-time,9I,physics,calculate,Section C,Data and calculations,2,"Use the formula relating speed, distance and time.",Speed = distance ÷ time. Rearranged: distance = speed × time; time = distance ÷ speed.,calculation-method,yes
derived-y9x-072-9i-describe-levers-ramps-and-pulleys-and-how-they-help-move-loads,open-answer-card,y9x-072-9i-describe-levers-ramps-and-pulleys-and-how-they-help-move-loads,9I,physics,describe,Section B,Written reasoning,2,"Describe levers, ramps and pulleys and how they help move loads.","Levers turn about pivots, ramps spread lifting over a longer distance, and pulleys change direction or reduce force using multiple rope sections.",linked-description,yes
derived-y9x-073-9i-explain-how-levers-ramps-or-pulleys-could-raise-or-lift-stones,open-answer-card,y9x-073-9i-explain-how-levers-ramps-or-pulleys-could-raise-or-lift-stones,9I,physics,explain,Section B,Written reasoning,3,"Explain how levers, ramps or pulleys could raise or lift stones.","They can reduce the force needed or change the direction of force, but usually require pulling or pushing over a greater distance.",cause-effect,yes
derived-y9x-075-9i-explain-why-simple-machines-do-not-mean-less-energy-is-needed,open-answer-card,y9x-075-9i-explain-why-simple-machines-do-not-mean-less-energy-is-needed,9I,physics,explain,Section B,Written reasoning,3,Explain why simple machines do not mean less energy is needed.,"Simple machines reduce force by increasing distance moved, so the work done is similar; friction can make the actual energy needed greater.",cause-effect,yes
derived-y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,open-answer-card,y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,9I,physics,graph,Section C,Data and calculations,3,Represent part of a journey on a distance-time graph.,Put time on the x-axis and distance on the y-axis. A steeper line means greater speed; a flat line means stopped.,graph-data,yes
derived-y9x-077-9i-use-the-formula-for-moment-force-and-perpendicular-distance,open-answer-card,y9x-077-9i-use-the-formula-for-moment-force-and-perpendicular-distance,9I,physics,calculate,Section C,Data and calculations,2,"Use the formula for moment, force and perpendicular distance.",Moment = force × perpendicular distance from the pivot. Rearranged: force = moment ÷ distance.,calculation-method,yes
derived-y9x-078-9i-explain-the-effect-of-friction-on-force-needed-to-move-a-load,open-answer-card,y9x-078-9i-explain-the-effect-of-friction-on-force-needed-to-move-a-load,9I,physics,explain,Section B,Written reasoning,3,Explain the effect of friction on force needed to move a load.,"Friction opposes motion, so a larger applied force is needed to start or keep the load moving.",cause-effect,yes
derived-y9x-079-9i-explain-why-friction-usually-means-more-energy-is-needed-with-a-simple-machine,open-answer-card,y9x-079-9i-explain-why-friction-usually-means-more-energy-is-needed-with-a-simple-machine,9I,physics,explain,Section B,Written reasoning,3,Explain why friction usually means more energy is needed with a simple machine.,"Friction transfers some energy to thermal energy stores, so extra work is needed compared with an ideal frictionless machine.",cause-effect,yes
derived-y9x-080-9i-explain-how-ramp-angle-affects-friction-and-required-force-using-force-component,open-answer-card,y9x-080-9i-explain-how-ramp-angle-affects-friction-and-required-force-using-force-component,9I,physics,explain,Section B,Written reasoning,3,Explain how ramp angle affects friction and required force using force components.,A shallow ramp reduces the component of weight down the slope but increases distance and contact; a steeper ramp needs more force along the slope.,cause-effect,yes
derived-y9x-081-9b-describe-what-gas-exchange-is-and-why-it-needs-to-occur-in-plants,open-answer-card,y9x-081-9b-describe-what-gas-exchange-is-and-why-it-needs-to-occur-in-plants,9B,biology,explain,Section B,Written reasoning,3,Describe what gas exchange is and why it needs to occur in plants.,Gas exchange is the movement of gases such as carbon dioxide and oxygen in and out of leaves. Plants need it for photosynthesis and respiration.,cause-effect,yes
derived-y9x-082-9b-describe-how-a-leaf-is-adapted-so-palisade-cells-get-the-resources-they-need,open-answer-card,y9x-082-9b-describe-how-a-leaf-is-adapted-so-palisade-cells-get-the-resources-they-need,9B,biology,describe,Section B,Written reasoning,2,Describe how a leaf is adapted so palisade cells get the resources they need.,"Leaves are broad and thin, have stomata for carbon dioxide, veins/xylem for water, and palisade cells near the top packed with chloroplasts.",linked-description,yes
derived-y9x-083-9b-describe-why-starch-in-chloroplasts-is-broken-down,open-answer-card,y9x-083-9b-describe-why-starch-in-chloroplasts-is-broken-down,9B,biology,explain,Section B,Written reasoning,3,Describe why starch in chloroplasts is broken down.,"Starch is broken down into smaller sugars so it can be transported around the plant and used for respiration, growth or storage elsewhere.",cause-effect,yes
derived-y9x-084-9b-suggest-when-starch-is-broken-down-in-chloroplasts-and-explain-why,open-answer-card,y9x-084-9b-suggest-when-starch-is-broken-down-in-chloroplasts-and-explain-why,9B,biology,explain,Section B,Written reasoning,3,Suggest when starch is broken down in chloroplasts and explain why.,"Starch is mainly broken down when photosynthesis stops or slows, such as at night, so stored carbohydrate can be moved and used.",cause-effect,yes
derived-y9x-085-9b-explain-why-plants-do-not-grow-well-if-the-soil-lacks-nitrates,open-answer-card,y9x-085-9b-explain-why-plants-do-not-grow-well-if-the-soil-lacks-nitrates,9B,biology,explain,Section B,Written reasoning,3,Explain why plants do not grow well if the soil lacks nitrates.,"Nitrates are needed to make amino acids and proteins. Without enough nitrates, plants cannot make enough protein for growth and enzymes.",cause-effect,yes
derived-y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,open-answer-card,y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,9B,biology,describe,Section B,Written reasoning,3,Put the main stages of germination into a logical order.,"Water enters the seed, reactions restart, enzymes are released/activated, starch is digested to glucose, glucose enters the embryo, and the embryo respires and grows.",linked-description,yes
derived-y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions,open-answer-card,y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions,9B,biology,explain,Section B,Written reasoning,3,List three substances found in seeds and explain their functions.,"Starch or lipids store energy, enzymes digest stores during germination, proteins provide amino acids, and cellulose forms cell walls.",cause-effect,yes
derived-y9x-091-9b-explain-why-phosphates-and-potassium-are-important-nutrients-for-plants,open-answer-card,y9x-091-9b-explain-why-phosphates-and-potassium-are-important-nutrients-for-plants,9B,biology,explain,Section B,Written reasoning,3,Explain why phosphates and potassium are important nutrients for plants.,"Phosphates are needed for DNA, energy transfer and root growth; potassium helps enzymes and healthy flower/fruit development.",cause-effect,yes
derived-y9x-092-9b-define-biodiversity,open-answer-card,y9x-092-9b-define-biodiversity,9B,biology,explain,Section B,Written reasoning,2,A pesticide reduces the number of insect species living in a field. What has happened to biodiversity in that area?,Biodiversity has decreased because there is a smaller range of different species living in the area.,cause-effect,yes
derived-y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field,open-answer-card,y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field,9B,biology,describe,Section B,Written reasoning,2,Describe how sampling can estimate biodiversity in a field.,"Use quadrats placed randomly or along a transect, count species in each quadrat, then use the sample to estimate diversity in the whole area.",linked-description,yes
derived-y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,open-answer-card,y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,9B,biology,identify,Section A,Core knowledge,1,Label the main processes in the carbon cycle.,Photosynthesis removes carbon dioxide; feeding transfers carbon; respiration and combustion release carbon dioxide; decomposition returns carbon from dead material.,label-or-feature,yes
derived-y9x-096-9b-explain-how-farming-affects-the-carbon-cycle,open-answer-card,y9x-096-9b-explain-how-farming-affects-the-carbon-cycle,9B,biology,explain,Section B,Written reasoning,3,Explain how farming affects the carbon cycle.,"Farming can remove trees, disturb soils, burn fuels, use crops or livestock and release carbon dioxide, reducing long-term carbon storage.",cause-effect,yes
derived-y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,open-answer-card,y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,9B,biology,state,Section A,Core knowledge,1,Give advantages and disadvantages of clearing land for farming.,"Advantages include more crop land and food. Disadvantages include habitat loss, reduced biodiversity, soil erosion and carbon dioxide release.",short-fact,yes
derived-y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides,open-answer-card,y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides,9B,biology,state,Section A,Core knowledge,1,Give advantages and disadvantages of insecticides and herbicides.,"They protect yield by killing pests or weeds, but can kill non-target species, reduce biodiversity and sometimes persist in food chains.",short-fact,yes
derived-y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers,open-answer-card,y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers,9B,biology,state,Section A,Core knowledge,1,Give advantages and disadvantages of fertilisers.,"Fertilisers increase growth and yield, but runoff can cause eutrophication, algal blooms and oxygen loss in lakes.",short-fact,yes
derived-y9x-101-9j-state-where-electrons-are-found-in-an-atom,open-answer-card,y9x-101-9j-state-where-electrons-are-found-in-an-atom,9J,physics,state,Section A,Core knowledge,1,State where electrons are found in an atom.,Electrons are found around the nucleus in shells or energy levels.,short-fact,yes
derived-y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material,open-answer-card,y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material,9J,physics,explain,Section B,Written reasoning,3,Explain why only negative charges transfer onto an insulating material.,Only electrons can move between materials; positive charges are fixed in the nuclei of atoms.,cause-effect,yes
derived-y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge,open-answer-card,y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge,9J,physics,explain,Section B,Written reasoning,3,Explain why a rubbed polythene rod has an overall negative charge.,"Rubbing transfers electrons onto the polythene, so it has more electrons than protons and becomes negatively charged.",cause-effect,yes
derived-y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other,open-answer-card,y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other,9J,physics,describe,Section B,Written reasoning,2,Describe how charged objects attract or repel each other.,Like charges repel; opposite charges attract. Charged objects can also attract uncharged light objects by inducing charge separation.,linked-description,yes
derived-y9x-109-9j-describe-how-to-increase-resistance-in-a-circuit,open-answer-card,y9x-109-9j-describe-how-to-increase-resistance-in-a-circuit,9J,physics,describe,Section B,Written reasoning,2,Describe how to increase resistance in a circuit.,"Use a longer wire, a thinner wire, a higher-resistance material, add resistors, or increase a variable resistor.",linked-description,yes
derived-y9x-111-9j-explain-which-wire-has-higher-resistance-a-long-thin-wire-or-a-short-thick-wire-,open-answer-card,y9x-111-9j-explain-which-wire-has-higher-resistance-a-long-thin-wire-or-a-short-thick-wire-,9J,physics,explain,Section B,Written reasoning,3,Explain which wire has higher resistance: a long thin wire or a short thick wire of the same material.,The long thin wire has higher resistance because length increases resistance and smaller thickness reduces the space for current to flow.,cause-effect,yes
derived-y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,open-answer-card,y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,9J,physics,explain,Section B,Written reasoning,3,Explain how a current–voltage graph shows which resistor has the higher resistance.,"At the same voltage / potential difference, the resistor with the lower current has the higher resistance. Equivalently, the shallower I–V line has higher resistance.",cause-effect,yes
derived-y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,open-answer-card,y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,9J,physics,describe,Section B,Written reasoning,4,Plan an investigation into how wire thickness affects resistance.,"Use wires of the same material and length but different thicknesses, measure voltage and current, calculate resistance, and control temperature.",linked-description,yes
derived-y9x-114-9j-explain-why-copper-is-commonly-used-for-wires-in-circuits,open-answer-card,y9x-114-9j-explain-why-copper-is-commonly-used-for-wires-in-circuits,9J,physics,explain,Section B,Written reasoning,3,Explain why copper is commonly used for wires in circuits.,"Copper is a good electrical conductor with low resistance, is ductile and is not too expensive compared with metals such as silver.",cause-effect,yes
derived-y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits,open-answer-card,y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits,9J,physics,describe,Section B,Written reasoning,2,Describe how current behaves in series and parallel circuits.,"Current is the same everywhere in a series circuit. In a parallel circuit, current splits at junctions and recombines afterwards.",linked-description,yes
derived-y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits,open-answer-card,y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits,9J,physics,describe,Section B,Written reasoning,2,Describe how voltage / potential difference behaves in series and parallel circuits.,"In series, voltages across components add to the supply voltage. In parallel, each branch has the same voltage as the supply.",linked-description,yes
derived-y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet,open-answer-card,y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet,9J,physics,explain,Section B,Written reasoning,3,Explain the difference between an electromagnet and a bar magnet.,"An electromagnet can be switched on and off and its strength can be changed by current, turns or core; a bar magnet is permanently magnetic.",cause-effect,yes
derived-y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,open-answer-card,y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,9J,physics,describe,Section B,Written reasoning,3,"Predict how changing current, magnetic field strength or current direction affects a motor.","Increasing current increases force, a weaker magnetic field reduces force, and reversing current reverses the direction of the force.",linked-description,yes
derived-y9x-122-9j-star-lord-has-mass-96-kg-on-a-planet-where-g-14-n-kg-calculate-his-weight,open-answer-card,y9x-122-9j-star-lord-has-mass-96-kg-on-a-planet-where-g-14-n-kg-calculate-his-weight,9J,physics,calculate,Section C,Data and calculations,2,Star Lord has mass 96 kg on a planet where g = 14 N/kg. Calculate his weight.,1344 N,calculation-method,yes
derived-y9x-124-9j-drax-has-mass-122-kg-on-a-planet-where-g-7-5-n-kg-calculate-his-weight,open-answer-card,y9x-124-9j-drax-has-mass-122-kg-on-a-planet-where-g-7-5-n-kg-calculate-his-weight,9J,physics,calculate,Section C,Data and calculations,2,Drax has mass 122 kg on a planet where g = 7.5 N/kg. Calculate his weight.,915 N,calculation-method,yes
derived-y9x-126-9j-rocket-has-mass-47-kg-on-a-planet-where-g-22-8-n-kg-calculate-his-weight,open-answer-card,y9x-126-9j-rocket-has-mass-47-kg-on-a-planet-where-g-22-8-n-kg-calculate-his-weight,9J,physics,calculate,Section C,Data and calculations,2,Rocket has mass 47 kg on a planet where g = 22.8 N/kg. Calculate his weight.,1071.6 N,calculation-method,yes
derived-y9x-128-9j-mantis-has-mass-56-kg-and-weight-686-n-on-a-planet-calculate-g,open-answer-card,y9x-128-9j-mantis-has-mass-56-kg-and-weight-686-n-on-a-planet-calculate-g,9J,physics,calculate,Section C,Data and calculations,2,Mantis has mass 56 kg and weight 686 N on a planet. Calculate g.,12.25 N/kg,calculation-method,yes
derived-y9x-129-9j-groot-has-mass-34-kg-on-a-planet-where-g-6-8-n-kg-calculate-his-weight,open-answer-card,y9x-129-9j-groot-has-mass-34-kg-on-a-planet-where-g-6-8-n-kg-calculate-his-weight,9J,physics,calculate,Section C,Data and calculations,2,Groot has mass 34 kg on a planet where g = 6.8 N/kg. Calculate his weight.,231.2 N,calculation-method,yes
derived-y9x-131-9j-oberon-has-about-1-3-times-the-mass-of-rhea-but-a-similar-diameter-which-moon-ha,open-answer-card,y9x-131-9j-oberon-has-about-1-3-times-the-mass-of-rhea-but-a-similar-diameter-which-moon-ha,9J,physics,identify,Section A,Core knowledge,2,Oberon has about 1.3 times the mass of Rhea but a similar diameter. Which moon has greater surface gravity?,Oberon,label-or-feature,yes
derived-y9x-139-9i-a-river-section-is-40-km-and-the-stones-move-at-3-km-h-calculate-the-time-taken,open-answer-card,y9x-139-9i-a-river-section-is-40-km-and-the-stones-move-at-3-km-h-calculate-the-time-taken,9I,physics,calculate,Section C,Data and calculations,2,A river section is 40 km and the stones move at 3 km/h. Calculate the time taken.,"13.3 h, or about 13 h 20 min",calculation-method,yes
derived-y9x-142-9i-a-moment-of-120-n-m-is-needed-using-a-lever-2-m-from-the-pivot-calculate-the-for,open-answer-card,y9x-142-9i-a-moment-of-120-n-m-is-needed-using-a-lever-2-m-from-the-pivot-calculate-the-for,9I,physics,calculate,Section C,Data and calculations,2,A moment of 120 N m is needed using a lever 2 m from the pivot. Calculate the force.,60 N,calculation-method,yes
derived-y9x-144-9i-a-ramp-requires-1500-j-of-work-over-5-m-calculate-the-average-force,open-answer-card,y9x-144-9i-a-ramp-requires-1500-j-of-work-over-5-m-calculate-the-average-force,9I,physics,calculate,Section C,Data and calculations,2,A ramp requires 1500 J of work over 5 m. Calculate the average force.,300 N,calculation-method,yes
