id,unit,domain,type,command,marks,pool,source_action,question,source,source_fidelity,has_media
y9x-084-9b-suggest-when-starch-is-broken-down-in-chloroplasts-and-explain-why,9B,biology,Progress check,explain,3,written-main,promote now,Suggest when starch is broken down in chloroplasts and explain why.,9B Plant Growth PPT slide 62 progress check,progress-check-derived,False
y9x-085-9b-explain-why-plants-do-not-grow-well-if-the-soil-lacks-nitrates,9B,biology,Progress check,explain,3,written-main,promote now,Explain why plants do not grow well if the soil lacks nitrates.,9B Plant Growth PPT slide 65 extending,progress-check-derived,False
y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,9B,biology,Progress check,describe,3,written-main,source-style wording polished and promoted in v1.56.0,Describe the main stages of germination in the correct order.,9B Plant Growth PPT slide 67,progress-check-derived,True
y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions,9B,biology,Progress check,explain,3,written-main,promote now,List three substances found in seeds and explain their functions.,9B Plant Growth PPT slide 67 extending,progress-check-derived,True
y9x-088-9b-describe-why-plants-are-cross-bred,9B,biology,Progress check,explain,3,written-main,promote now,Describe why plants are cross-bred.,9B Plant Growth PPT slide 73 objective,progress-check-derived,False
y9x-089-9b-recall-the-main-mineral-nutrients-plants-need,9B,biology,Progress check,state,1,written-recall,promote to recall pool,Recall the main mineral nutrients plants need.,9B Plant Growth PPT slide 73 objective,progress-check-derived,False
y9x-090-9b-explain-how-food-production-for-humans-can-be-increased,9B,biology,Progress check,explain,3,written-main,promote now,Explain how food production for humans can be increased.,9B Plant Growth PPT slide 73 objective,progress-check-derived,False
y9x-091-9b-explain-why-phosphates-and-potassium-are-important-nutrients-for-plants,9B,biology,Progress check,explain,3,written-main,promote now,Explain why phosphates and potassium are important nutrients for plants.,9B Plant Growth PPT slide 73 objective,progress-check-derived,False
y9x-092-9b-define-biodiversity,9B,biology,Apply check,explain,2,written-main,source-style wording polished and promoted in v1.56.0,Explain how using a pesticide could reduce biodiversity in a field.,9B Plant Growth PPT slide 95,progress-check-derived,False
y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field,9B,biology,Progress check,describe,2,written-main,promote now,Describe how sampling can estimate biodiversity in a field.,9B Plant Growth PPT slides 97-98,progress-check-derived,True
y9x-094-9b-explain-why-relying-on-one-crop-variety-can-be-risky,9B,biology,Progress check,explain,3,written-main,promote now,Explain why relying on one crop variety can be risky.,9B Plant Growth PPT slide 99 extending,progress-check-derived,False
y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,9B,biology,Progress check,identify,1,written-main,promote now,Label the main processes in the carbon cycle.,9B Plant Growth PPT slide 103,progress-check-derived,True
y9x-096-9b-explain-how-farming-affects-the-carbon-cycle,9B,biology,Progress check,explain,3,written-main,promote now,Explain how farming affects the carbon cycle.,9B Plant Growth PPT slide 103 extending,progress-check-derived,True
y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,9B,biology,Progress check,state,1,written-recall,promote to recall pool,Give advantages and disadvantages of clearing land for farming.,9B Plant Growth PPT slide 105,progress-check-derived,True
y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides,9B,biology,Progress check,state,1,written-recall,promote to recall pool,Give advantages and disadvantages of insecticides and herbicides.,9B Plant Growth PPT slide 105,progress-check-derived,True
y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers,9B,biology,Progress check,state,1,written-recall,promote to recall pool,Give advantages and disadvantages of fertilisers.,9B Plant Growth PPT slide 105,progress-check-derived,True
y9x-100-9b-explain-why-changing-from-wheat-to-rapeseed-after-many-years-may-reduce-yield,9B,biology,Progress check,explain,3,written-main,promote now,Explain why changing from wheat to rapeseed after many years may reduce yield.,9B Plant Growth PPT slide 105 extending,progress-check-derived,False
y9x-101-9j-state-where-electrons-are-found-in-an-atom,9J,physics,Progress check,state,1,written-recall,promote to recall pool,State where electrons are found in an atom.,9Jb Static Electricity PPT slide 9 progress check,progress-check-derived,False
y9x-102-9j-describe-the-dangers-of-static-electricity,9J,physics,Progress check,describe,2,written-main,promote now,Describe the dangers of static electricity.,9Jb Static Electricity PPT slide 9 progress check,progress-check-derived,False
y9x-103-9j-explain-why-only-negative-charges-transfer-onto-an-insulating-material,9J,physics,Progress check,explain,3,written-main,promote now,Explain why only negative charges transfer onto an insulating material.,9Jb Static Electricity PPT slide 9 progress check,progress-check-derived,True
y9x-104-9j-explain-why-a-rubbed-polythene-rod-has-an-overall-negative-charge,9J,physics,Progress check,explain,3,written-main,promote now,Explain why a rubbed polythene rod has an overall negative charge.,9Jb Static Electricity PPT slide 9 progress check,progress-check-derived,True
y9x-105-9j-describe-how-charged-objects-attract-or-repel-each-other,9J,physics,Progress check,describe,2,written-main,promote now,Describe how charged objects attract or repel each other.,9Jb Static Electricity PPT slides 8 and 10,progress-check-derived,True
y9x-106-9j-describe-a-fair-investigation-of-forces-between-charged-rods,9J,physics,Progress check,describe,2,written-main,promote now,Describe a fair investigation of forces between charged rods.,9Jb Static Electricity PPT slide 12,progress-check-derived,False
y9x-107-9j-state-three-materials-that-have-high-resistance,9J,physics,Progress check,state,1,written-recall,promote to recall pool,State three materials that have high resistance.,9Jd Resistance PPT slide 9 progress check,progress-check-derived,False
y9x-108-9j-describe-what-resistance-is,9J,physics,Progress check,describe,2,written-main,promote now,Describe what resistance is.,9Jd Resistance PPT slide 9 progress check,progress-check-derived,False
y9x-109-9j-describe-how-to-increase-resistance-in-a-circuit,9J,physics,Progress check,describe,2,written-main,promote now,Describe how to increase resistance in a circuit.,9Jd Resistance PPT slide 9 progress check,progress-check-derived,False
y9x-110-9j-state-the-units-for-voltage-current-and-resistance,9J,physics,Progress check,state,1,written-recall,promote to recall pool,"State the units for voltage / potential difference, current and resistance.",9Jd Resistance PPT slide 10,progress-check-derived,False
y9x-111-9j-explain-which-wire-has-higher-resistance-a-long-thin-wire-or-a-short-thick-wire-,9J,physics,Progress check,explain,3,written-main,promote now,Explain which wire has higher resistance: a long thin wire or a short thick wire of the same material.,9Jd Resistance PPT slide 8,progress-check-derived,False
y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,9J,physics,Progress check,explain,3,written-main,promote now,Explain how a current–voltage graph shows which resistor has the higher resistance.,9Jd Resistance PPT slide 16,progress-check-derived,True
y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,9J,physics,Progress check,describe,4,written-main,source-style wording polished and promoted in v1.56.0,"Describe a method to investigate how wire thickness affects resistance. Include what to change, measure and control.",9Jd Resistance PPT objective,progress-check-derived,True
y9x-114-9j-explain-why-copper-is-commonly-used-for-wires-in-circuits,9J,physics,Progress check,explain,3,written-main,promote now,Explain why copper is commonly used for wires in circuits.,9Jc Current Electricity PPT slide 3 extending,progress-check-derived,False
y9x-115-9j-describe-how-current-behaves-in-series-and-parallel-circuits,9J,physics,Progress check,describe,2,written-main,promote now,Describe how current behaves in series and parallel circuits.,9Jc Current Electricity PPT slide 10,progress-check-derived,True
y9x-116-9j-describe-how-voltage-behaves-in-series-and-parallel-circuits,9J,physics,Progress check,describe,2,written-main,promote now,Describe how voltage / potential difference behaves in series and parallel circuits.,9Jc Current Electricity PPT slide 13,progress-check-derived,True
y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet,9J,physics,Progress check,explain,3,written-main,promote now,Explain the difference between an electromagnet and a bar magnet.,9Je Electromagnets PPT slide 3 extending,progress-check-derived,True
y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,9J,physics,Progress check,describe,3,written-main,source-style wording polished and promoted in v1.56.0,"Describe how changing the current, magnetic-field strength or current direction affects the force on a motor coil.",9Je Electromagnets PPT slide 8,progress-check-derived,True
y9x-119-9j-gamora-has-mass-54-kg-calculate-her-weight-on-earth-where-g-10-n-kg,9J,physics,Calculation,calculate,2,written-main,promote now,"Gamora has mass 54 kg. Calculate her weight on Earth, where g = 10 N/kg.",9Ja Force Fields PPT slide 17,calculation-practice-derived,False
y9x-120-9j-gamora-has-mass-54-kg-on-a-planet-where-g-5-n-kg-calculate-her-weight,9J,physics,Calculation,calculate,2,written-main,promote now,Gamora has mass 54 kg on a planet where g = 5 N/kg. Calculate her weight.,9Ja Force Fields PPT slide 17,calculation-practice-derived,False
y9x-121-9j-star-lord-has-mass-96-kg-calculate-his-weight-on-earth-where-g-10-n-kg,9J,physics,Calculation,calculate,2,written-main,promote now,"Star Lord has mass 96 kg. Calculate his weight on Earth, where g = 10 N/kg.",9Ja Force Fields PPT slide 18,calculation-practice-derived,False
y9x-122-9j-star-lord-has-mass-96-kg-on-a-planet-where-g-14-n-kg-calculate-his-weight,9J,physics,Calculation,calculate,2,written-main,promote now,Star Lord has mass 96 kg on a planet where g = 14 N/kg. Calculate his weight.,9Ja Force Fields PPT slide 18,calculation-practice-derived,False
y9x-123-9j-drax-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-his-mass,9J,physics,Calculation,calculate,2,written-main,promote now,Drax weighs 1220 N on Earth where g = 10 N/kg. Calculate his mass.,9Ja Force Fields PPT slide 19,calculation-practice-derived,False
y9x-124-9j-drax-has-mass-122-kg-on-a-planet-where-g-7-5-n-kg-calculate-his-weight,9J,physics,Calculation,calculate,2,written-main,promote now,Drax has mass 122 kg on a planet where g = 7.5 N/kg. Calculate his weight.,9Ja Force Fields PPT slide 19,calculation-practice-derived,False
y9x-125-9j-rocket-weighs-470-n-on-earth-where-g-10-n-kg-calculate-his-mass,9J,physics,Calculation,calculate,2,written-main,promote now,Rocket weighs 470 N on Earth where g = 10 N/kg. Calculate his mass.,9Ja Force Fields PPT slide 20,calculation-practice-derived,False
y9x-126-9j-rocket-has-mass-47-kg-on-a-planet-where-g-22-8-n-kg-calculate-his-weight,9J,physics,Calculation,calculate,2,written-main,promote now,Rocket has mass 47 kg on a planet where g = 22.8 N/kg. Calculate his weight.,9Ja Force Fields PPT slide 20,calculation-practice-derived,False
y9x-127-9j-mantis-has-mass-56-kg-calculate-her-weight-on-earth-where-g-10-n-kg,9J,physics,Calculation,calculate,2,written-main,promote now,Mantis has mass 56 kg. Calculate her weight on Earth where g = 10 N/kg.,9Ja Force Fields PPT slide 21,calculation-practice-derived,False
y9x-128-9j-mantis-has-mass-56-kg-and-weight-686-n-on-a-planet-calculate-g,9J,physics,Calculation,calculate,2,written-main,promote now,Mantis has mass 56 kg and weight 686 N on a planet. Calculate g.,9Ja Force Fields PPT slide 21,calculation-practice-derived,False
y9x-129-9j-groot-has-mass-34-kg-on-a-planet-where-g-6-8-n-kg-calculate-his-weight,9J,physics,Calculation,calculate,2,written-main,promote now,Groot has mass 34 kg on a planet where g = 6.8 N/kg. Calculate his weight.,9Ja Force Fields PPT slide 22,calculation-practice-derived,False
y9x-130-9j-groot-has-mass-34-kg-and-weight-724-2-n-on-a-planet-calculate-g,9J,physics,Calculation,calculate,2,written-main,promote now,Groot has mass 34 kg and weight 724.2 N on a planet. Calculate g.,9Ja Force Fields PPT slide 22,calculation-practice-derived,False
y9x-131-9j-oberon-has-about-1-3-times-the-mass-of-rhea-but-a-similar-diameter-which-moon-ha,9J,physics,Calculation,identify,2,written-main,promote now,Oberon has about 1.3 times the mass of Rhea but a similar diameter. Which moon has greater surface gravity?,9Ja Force Fields PPT slide 23 practice question,calculation-practice-derived,False
y9x-132-9j-calculate-resistance-voltage-12-v-current-2-a,9J,physics,Calculation,calculate,2,written-main,promote now,"Calculate resistance: voltage = 12 V, current = 2 A.",9Jd Resistance formula practice,calculation-practice-derived,False
y9x-133-9j-calculate-resistance-voltage-9-v-current-0-3-a,9J,physics,Calculation,calculate,2,written-main,promote now,"Calculate resistance: voltage = 9 V, current = 0.3 A.",9Jd Resistance formula practice,calculation-practice-derived,False
y9x-134-9j-calculate-resistance-voltage-8-v-current-0-02-a,9J,physics,Calculation,calculate,2,written-main,promote now,"Calculate resistance: voltage = 8 V, current = 0.02 A.",9Jd Resistance PPT table-style practice,calculation-practice-derived,False
y9x-135-9j-calculate-current-voltage-6-v-resistance-30,9J,physics,Calculation,calculate,2,written-main,promote now,"Calculate current: voltage = 6 V, resistance = 30 Ω.",9Jd Resistance formula practice,calculation-practice-derived,False
y9x-136-9j-calculate-voltage-current-0-5-a-resistance-20,9J,physics,Calculation,calculate,2,written-main,promote now,"Calculate voltage: current = 0.5 A, resistance = 20 Ω.",9Jd Resistance PPT modelled answer extension,calculation-practice-derived,False
y9x-137-9j-calculate-voltage-current-0-02-a-resistance-5200,9J,physics,Calculation,calculate,2,written-main,promote now,"Calculate voltage: current = 0.02 A, resistance = 5200 Ω.",9Jd Resistance PPT table-style practice,calculation-practice-derived,False
y9x-138-9i-a-stone-is-moved-65-km-in-65-h-calculate-the-mean-speed,9I,physics,Calculation,calculate,2,written-main,promote now,A stone is moved 65 km in 65 h. Calculate the mean speed.,9I assess-yourself journey context,calculation-practice-derived,False
y9x-139-9i-a-river-section-is-40-km-and-the-stones-move-at-3-km-h-calculate-the-time-taken,9I,physics,Calculation,calculate,2,written-main,promote now,A river section is 40 km and the stones move at 3 km/h. Calculate the time taken.,9I assess-yourself journey context,calculation-practice-derived,False
y9x-140-9i-a-final-overland-section-is-5-km-at-1-km-h-calculate-the-time-taken,9I,physics,Calculation,calculate,2,written-main,promote now,A final overland section is 5 km at 1 km/h. Calculate the time taken.,9I assess-yourself journey context,calculation-practice-derived,False
y9x-141-9i-a-force-of-200-n-acts-0-5-m-from-a-pivot-calculate-the-moment,9I,physics,Calculation,calculate,2,written-main,promote now,A force of 200 N acts 0.5 m from a pivot. Calculate the moment.,9I moments practice,calculation-practice-derived,False
y9x-142-9i-a-moment-of-120-n-m-is-needed-using-a-lever-2-m-from-the-pivot-calculate-the-for,9I,physics,Calculation,calculate,2,written-main,promote now,A moment of 120 N m is needed using a lever 2 m from the pivot. Calculate the force.,9I moments practice,calculation-practice-derived,False
y9x-143-9i-a-300-n-force-moves-a-load-4-m-calculate-the-work-done,9I,physics,Calculation,calculate,2,written-main,promote now,A 300 N force moves a load 4 m. Calculate the work done.,9I work-done practice,calculation-practice-derived,False
y9x-144-9i-a-ramp-requires-1500-j-of-work-over-5-m-calculate-the-average-force,9I,physics,Calculation,calculate,2,written-main,promote now,A ramp requires 1500 J of work over 5 m. Calculate the average force.,9I ramps/work-done practice,calculation-practice-derived,False
y9x-145-9i-a-cyclist-travels-at-6-m-s-for-20-s-calculate-the-distance-travelled,9I,physics,Calculation,calculate,2,written-main,promote now,A cyclist travels at 6 m/s for 20 s. Calculate the distance travelled.,9I speed practice,calculation-practice-derived,False
y9x-138-9j-match-common-circuit-symbols-to-their-component-names,9J,physics,Progress check,identify,4,written-main,source-style wording polished and promoted in v1.56.0,Identify the circuit components labelled A–H in the symbol grid.,9Jc Current Electricity PPT / revision pack circuit-symbol coverage,revision-pack-aligned-visual-practice,True
y9x-148-9j-compare-current-and-voltage-in-the-two-circuits,9J,physics,Progress check,describe,4,written-main,source-style wording polished and promoted in v1.56.0,Describe how current and voltage behave in a series circuit and a parallel circuit.,9Jc Current Electricity PPT / series and parallel circuits,revision-pack-aligned-visual-practice,True
y9x-153-9j-use-the-charge-pair-diagram-identify-which-pairs-repel-and-which-attract,9J,physics,Progress check,identify,1,written-main,promote now,Use the charge-pair diagram. Identify which labelled pairs repel and which labelled pairs attract.,9Jb Static-Electricity PPT / 9J summary sheet - charge attraction and repulsion visual practice,source-style-redraw,True
y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,9J,physics,Progress check,identify,2,written-main,source-style wording polished and promoted in v1.56.0,Identify the particle that has moved in the charge-transfer diagram and state the charge gained by the rod.,9Jb Static-Electricity PPT / 9J summary sheet - charging by rubbing visual practice,source-style-redraw,True
y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,9J,physics,Progress check,identify,4,written-main,source-style wording polished and promoted in v1.56.0,Identify labels A–D on the electromagnet diagram.,9Je Electromagnets PPT / 9J summary sheet - electromagnet parts visual practice,source-style-redraw,True
y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load,9J,physics,Progress check,identify,4,written-main,source-style wording polished and promoted in v1.56.0,Identify labels A–D on the relay diagram.,9Je Electromagnets PPT / 9J summary sheet - relay diagram visual practice,source-style-redraw,True
y9x-158-9j-use-the-relay-diagram-explain-why-a-relay-is-useful,9J,physics,Progress check,explain,3,written-main,promote now,Use the relay diagram. Explain why a relay is useful in an electrical system.,9Je Electromagnets PPT / 9J summary sheet - relay explanation visual practice,source-style-redraw,True
y9r-001-9b-what-is-sustainable-development,9B,biology,Assess check,state,1,written-recall,promote to recall pool,What is sustainable development?,9B Summary sheet p2 Farming,exact-source-answer,False
y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming,9B,biology,Apply check,state,1,written-recall,promote to recall pool,A farmer clears hedges and trees from a field. Give one benefit for farming and one environmental problem this can cause.,9B Summary sheet p2 Farming table,exact-source-answer,True
y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,9B,biology,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State two problems caused by clearing hedges and trees.,9B Summary sheet p2 Farming table,exact-source-answer,False
y9r-004-9b-why-are-pesticides-used-on-crops,9B,biology,Assess check,explain,3,written-main,promote now,Why are pesticides used on crops?,9B Summary sheet p2 Farming table,exact-source-answer,False
y9r-005-9b-what-problem-can-pesticides-cause,9B,biology,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State two problems that pesticides can cause in an ecosystem.,9B Summary sheet p2 Farming table,exact-source-answer,True
y9r-006-9b-why-are-fertilisers-used,9B,biology,Assess check,explain,3,written-main,promote now,Why are fertilisers used?,9B Summary sheet p2 Farming table,exact-source-answer,False
y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,9B,biology,Apply check,explain,2,written-main,source-style wording polished and promoted in v1.56.0,Explain why fertiliser washing into a stream can harm organisms living there.,9B Summary sheet p2 Farming table,exact-source-answer,True
y9r-008-9b-what-is-the-problem-with-planting-huge-areas-of-a-single-variety,9B,biology,Assess check,state,1,written-recall,promote to recall pool,What is the problem with planting huge areas of a single variety?,9B Summary sheet p2 Farming table,exact-source-answer,False
y9r-009-9b-what-is-cross-breeding,9B,biology,Assess check,state,1,written-recall,promote to recall pool,What is cross-breeding?,9B Summary sheet p2 Breeding varieties,exact-source-answer,False
y9r-010-9b-what-happens-to-the-energy-released-from-glucose-in-aerobic-respiration,9B,biology,Assess check,describe,2,written-main,promote now,What happens to the energy released from glucose in aerobic respiration?,9B Summary sheet p2 Aerobic respiration,exact-source-answer,False
y9r-011-9b-why-do-plants-need-magnesium-salts,9B,biology,Assess check,explain,3,written-main,promote now,Why do plants need magnesium salts?,9B Summary sheet p1 Getting water,exact-source-answer,False
y9r-012-9b-where-does-most-photosynthesis-happen-in-leaves,9B,biology,Assess check,identify,2,written-main,source-style wording polished and promoted in v1.56.0,Identify where most photosynthesis happens in a leaf.,9B Summary sheet p1 Getting light,exact-source-answer,False
y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,9E,chemistry,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State what exothermic reactions do to the surroundings.,9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,True
y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,9E,chemistry,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State what endothermic reactions do to the surroundings.,9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,True
y9r-015-9e-give-an-example-of-an-endothermic-reaction-from-the-revision-sheet,9E,chemistry,Assess check,state,1,written-recall,promote to recall pool,Give an example of an endothermic reaction from the revision sheet.,9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,False
y9r-016-9e-what-do-the-state-symbols-s-l-g-and-aq-mean,9E,chemistry,Assess check,state,1,written-recall,promote to recall pool,"What do the state symbols s, l, g and aq mean?",9E Summary sheet p2 Endothermic and exothermic reactions,exact-source-answer,False
y9r-017-9e-what-is-made-when-calcium-carbonate-thermally-decomposes,9E,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is made when calcium carbonate thermally decomposes?,9E Summary sheet p2 Thermal decomposition equation,exact-source-answer,False
y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,9E,chemistry,Assess check,state,3,written-main,source-style wording polished and promoted in v1.56.0,State three things scientists check during peer review.,9E Summary sheet p2 Peer review,exact-source-answer,False
y9r-019-9e-after-peer-review-what-can-a-paper-be-recommended-for,9E,chemistry,Assess check,state,3,written-main,source-style wording polished and promoted in v1.56.0,State the three possible recommendations after peer review.,9E Summary sheet p2 Peer review,exact-source-answer,False
y9r-020-9e-how-are-metals-recycled-according-to-the-revision-sheet,9E,chemistry,Assess check,describe,2,written-main,promote now,"How are metals recycled, according to the revision sheet?",9E Summary sheet p2 Recycling materials,exact-source-answer,True
y9r-021-9e-how-is-glass-recycled-according-to-the-revision-sheet,9E,chemistry,Assess check,describe,2,written-main,promote now,"How is glass recycled, according to the revision sheet?",9E Summary sheet p2 Recycling materials,exact-source-answer,True
y9r-022-9e-how-is-paper-recycled-according-to-the-revision-sheet,9E,chemistry,Assess check,describe,2,written-main,promote now,"How is paper recycled, according to the revision sheet?",9E Summary sheet p2 Recycling materials,exact-source-answer,True
y9r-023-9e-how-is-concrete-recycled-according-to-the-revision-sheet,9E,chemistry,Assess check,describe,2,written-main,promote now,"How is concrete recycled, according to the revision sheet?",9E Summary sheet p2 Recycling materials,exact-source-answer,False
y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful,9E,chemistry,Assess check,explain,3,written-main,promote now,Give two reasons why recycling materials to use again is useful.,9E Summary sheet p2 Recycling materials,exact-source-answer,True
y9r-025-9e-what-is-biomagnification,9E,chemistry,Apply check,explain,3,written-main,promote now,"A toxin is eaten by small animals, and then many small animals are eaten by a predator. Why can toxin levels become highest in the predator?",9E Summary sheet p2 Problems with materials,exact-source-answer,True
y9r-026-9f-in-reactions-and-physical-changes-what-happens-to-the-number-of-atoms,9F,chemistry,Explain check,explain,3,written-main,promote now,Why is there no overall change in mass in a reaction or physical change?,9F Summary sheet p1 Reactions and equations,exact-source-answer,True
y9r-027-9f-what-do-the-large-numbers-in-an-equation-show,9F,chemistry,Assess check,identify,1,written-main,source-style wording polished and promoted in v1.56.0,Identify what the large numbers in a chemical equation show.,9F Summary sheet p1 Reactions and equations,exact-source-answer,False
y9r-028-9f-what-do-the-letters-in-brackets-in-an-equation-show,9F,chemistry,Assess check,identify,2,written-main,source-style wording polished and promoted in v1.56.0,Identify what the letters in brackets in a chemical equation show.,9F Summary sheet p1 Reactions and equations,exact-source-answer,False
y9r-029-9f-what-does-an-atom-contain,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What does an atom contain?,9F Summary sheet p2 Atomic structure,exact-source-answer,False
y9r-030-9f-what-is-the-atomic-number-or-proton-number,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is the atomic number or proton number?,9F Summary sheet p2 Atomic structure,exact-source-answer,False
y9r-031-9f-how-are-elements-arranged-in-the-periodic-table,9F,chemistry,Assess check,describe,2,written-main,promote now,How are elements arranged in the periodic table?,9F Summary sheet p2 Atomic structure,exact-source-answer,False
y9r-032-9f-what-is-the-mass-number-of-an-atom,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is the mass number of an atom?,9F Summary sheet p2 Atomic structure,exact-source-answer,False
y9r-033-9f-what-are-groups-and-periods-in-the-periodic-table,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What are groups and periods in the periodic table?,9F Summary sheet p2 Atomic structure,exact-source-answer,False
y9r-034-9f-what-do-metals-that-react-with-water-produce,9F,chemistry,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State the products formed when reactive metals react with water.,9F Summary sheet p1 The reactivity series,exact-source-answer,True
y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,9F,chemistry,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State the products formed when metals react with dilute acids.,9F Summary sheet p1 The reactivity series,exact-source-answer,True
y9r-036-9f-what-is-an-oxidation-reaction-in-the-reactivity-series-section,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is an oxidation reaction in the reactivity-series section?,9F Summary sheet p1 The reactivity series,exact-source-answer,False
y9r-037-9f-what-is-a-hydrocarbon,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is a hydrocarbon?,9F Summary sheet p3 Hydrocarbons,exact-source-answer,False
y9r-038-9f-what-is-the-word-equation-for-complete-combustion-of-a-hydrocarbon,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is the word equation for complete combustion of a hydrocarbon?,9F Summary sheet p3 Hydrocarbons,exact-source-answer,True
y9r-039-9f-what-is-the-test-for-oxygen,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is the test for oxygen?,9F Summary sheet p3 Hydrocarbons,exact-source-answer,False
y9r-040-9f-why-is-an-input-of-energy-from-a-flame-or-spark-needed-to-start-combustion,9F,chemistry,Assess check,explain,3,written-main,promote now,Why is an input of energy from a flame or spark needed to start combustion?,9F Summary sheet p3 Hydrocarbons,exact-source-answer,True
y9r-041-9f-what-increases-the-rate-of-reaction-according-to-the-revision-sheet,9F,chemistry,Apply check,state,1,written-recall,promote to recall pool,A student wants a reaction to happen faster. Give three changes from the revision sheet that could increase the rate.,9F Summary sheet p3 Rates of reaction,exact-source-answer,True
y9r-042-9f-what-is-a-displacement-reaction,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,What is a displacement reaction?,9F Summary sheet p3 Displacement reactions,exact-source-answer,False
y9r-043-9f-where-do-most-metals-occur,9F,chemistry,Assess check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State how most metals occur naturally in the Earth’s crust.,9F Summary sheet p3 Extracting metals,exact-source-answer,False
y9r-044-9f-which-metals-can-be-extracted-from-their-ores-by-heating-with-carbon,9F,chemistry,Apply check,identify,1,written-main,promote now,A metal is zinc or below zinc in the reactivity series. Which extraction method can be used?,9F Summary sheet p3 Extracting metals,exact-source-answer,True
y9r-045-9f-which-metals-need-electrolysis-to-extract-them-from-their-ores,9F,chemistry,Explain check,explain,3,written-main,promote now,A metal is above zinc in the reactivity series. Why is electrolysis needed to extract it from its ore?,9F Summary sheet p3 Extracting metals,exact-source-answer,True
y9r-046-9f-what-are-oxidation-reduction-and-redox,9F,chemistry,Assess check,state,1,written-recall,promote to recall pool,"What are oxidation, reduction and redox?",9F Summary sheet p3 Extracting metals,exact-source-answer,False
y9r-047-9i-what-can-forces-make-objects-do,9I,physics,Assess check,state,3,written-main,source-style wording polished and promoted in v1.56.0,State three ways a force can change the motion of an object.,9I Summary sheet p1 Forces and motion,exact-source-answer,False
y9r-048-9i-what-is-true-about-the-forces-on-an-object-moving-at-a-constant-speed,9I,physics,Assess check,state,1,written-recall,promote to recall pool,What is true about the forces on an object moving at a constant speed?,9I Summary sheet p1 Forces and motion,exact-source-answer,False
y9r-049-9i-what-happens-to-air-resistance-as-a-falling-object-gets-faster,9I,physics,Assess check,describe,2,written-main,promote now,What happens to air resistance as a falling object gets faster?,9I Summary sheet p1 Forces and motion,exact-source-answer,False
y9r-050-9i-what-has-happened-when-a-falling-object-reaches-terminal-velocity,9I,physics,Apply check,explain,2,written-main,source-style wording polished and promoted in v1.56.0,Explain what has happened to air resistance and weight when a falling object reaches terminal velocity.,9I Summary sheet p1 Forces and motion,exact-source-answer,False
y9r-051-9i-how-do-you-convert-a-speed-in-m-s-to-km-h,9I,physics,Assess check,explain,3,written-main,promote now,How do you convert a speed in m/s to km/h?,9I Summary sheet p1 Speed,exact-source-answer,False
