qid,legacy_id,unit,qid_type,card_type,level,question,source
9B-VOC-17,y9-158-9b-define-biological-control,9B,VOC,Vocabulary,1,Explain: biological control,9B word sheet / summary sheet
9B-VOC-18,y9-159-9b-define-carbon-cycle,9B,VOC,Vocabulary,1,Explain: carbon cycle,9B word sheet / summary sheet
9E-VOC-01,y9-160-9e-define-ceramic,9E,VOC,Vocabulary,1,Explain: ceramic,9E word sheet / summary sheet
9E-VOC-02,y9-161-9e-define-brittle,9E,VOC,Vocabulary,1,Explain: brittle,9E word sheet / summary sheet
9E-VOC-03,y9-162-9e-define-bond,9E,VOC,Vocabulary,1,Explain: bond,9E word sheet / summary sheet
9E-VOC-04,y9-163-9e-define-lattice,9E,VOC,Vocabulary,1,Explain: lattice,9E word sheet / summary sheet
9E-VOC-05,y9-164-9e-define-polymer,9E,VOC,Vocabulary,1,Explain: polymer,9E word sheet / summary sheet
9E-VOC-06,y9-165-9e-define-monomer,9E,VOC,Vocabulary,1,Explain: monomer,9E word sheet / summary sheet
9E-VOC-07,y9-166-9e-define-synthetic-polymer,9E,VOC,Vocabulary,1,Explain: synthetic polymer,9E word sheet / summary sheet
9E-VOC-08,y9-167-9e-define-vulcanisation,9E,VOC,Vocabulary,1,Explain: vulcanisation,9E word sheet / summary sheet
9E-VOC-09,y9-168-9e-define-composite,9E,VOC,Vocabulary,1,Explain: composite,9E word sheet / summary sheet
9E-VOC-10,y9-169-9e-define-concrete,9E,VOC,Vocabulary,1,Explain: concrete,9E word sheet / summary sheet
9E-VOC-11,y9-170-9e-define-glass-reinforced-plastic,9E,VOC,Vocabulary,1,Explain: glass reinforced plastic,9E word sheet / summary sheet
9E-VOC-12,y9-171-9e-define-thermal-decomposition,9E,VOC,Vocabulary,1,Explain: thermal decomposition,9E word sheet / summary sheet
9E-VOC-13,y9-172-9e-define-greenhouse-gas,9E,VOC,Vocabulary,1,Explain: greenhouse gas,9E word sheet / summary sheet
9E-VOC-14,y9-173-9e-define-biomagnification,9E,VOC,Vocabulary,1,Explain: biomagnification,9E word sheet / summary sheet
9E-VOC-15,y9-174-9e-define-biodegradable,9E,VOC,Vocabulary,1,Explain: biodegradable,9E word sheet / summary sheet
9E-VOC-16,y9-175-9e-define-non-biodegradable,9E,VOC,Vocabulary,1,Explain: non-biodegradable,9E word sheet / summary sheet
9E-VOC-17,y9-176-9e-define-landfill,9E,VOC,Vocabulary,1,Explain: landfill,9E word sheet / summary sheet
9E-VOC-18,y9-177-9e-define-recycling,9E,VOC,Vocabulary,1,Explain: recycling,9E word sheet / summary sheet
9F-VOC-01,y9-178-9f-define-physical-change,9F,VOC,Vocabulary,1,Explain: physical change,9F word sheet / summary sheet
9F-VOC-02,y9-179-9f-define-chemical-reaction,9F,VOC,Vocabulary,1,Explain: chemical reaction,9F word sheet / summary sheet
9F-VOC-03,y9-180-9f-define-gas-pressure,9F,VOC,Vocabulary,1,Explain: gas pressure,9F word sheet / summary sheet
9F-VOC-04,y9-181-9f-define-reactivity,9F,VOC,Vocabulary,1,Explain: reactivity,9F word sheet / summary sheet
9F-VOC-05,y9-182-9f-define-periodic-table,9F,VOC,Vocabulary,1,Explain: periodic table,9F word sheet / summary sheet
9F-VOC-06,y9-183-9f-define-proton,9F,VOC,Vocabulary,1,Explain: proton,9F word sheet / summary sheet
9F-VOC-07,y9-184-9f-define-neutron,9F,VOC,Vocabulary,1,Explain: neutron,9F word sheet / summary sheet
9F-VOC-08,y9-185-9f-define-electron,9F,VOC,Vocabulary,1,Explain: electron,9F word sheet / summary sheet
9F-VOC-09,y9-186-9f-define-salt,9F,VOC,Vocabulary,1,Explain: salt,9F word sheet / summary sheet
9F-VOC-10,y9-187-9f-define-combustion,9F,VOC,Vocabulary,1,Explain: combustion,9F word sheet / summary sheet
9F-VOC-11,y9-188-9f-define-hydrocarbon,9F,VOC,Vocabulary,1,Explain: hydrocarbon,9F word sheet / summary sheet
9F-VOC-12,y9-189-9f-define-exothermic-reaction,9F,VOC,Vocabulary,1,Explain: exothermic reaction,9F word sheet / summary sheet
9F-VOC-13,y9-190-9f-define-endothermic-reaction,9F,VOC,Vocabulary,1,Explain: endothermic reaction,9F word sheet / summary sheet
9F-VOC-14,y9-191-9f-define-displacement-reaction,9F,VOC,Vocabulary,1,Explain: displacement reaction,9F word sheet / summary sheet
9F-VOC-15,y9-192-9f-define-oxidation,9F,VOC,Vocabulary,1,Explain: oxidation,9F word sheet / summary sheet
9F-VOC-16,y9-193-9f-define-reduction,9F,VOC,Vocabulary,1,Explain: reduction,9F word sheet / summary sheet
9F-VOC-17,y9-194-9f-define-ore,9F,VOC,Vocabulary,1,Explain: ore,9F word sheet / summary sheet
9F-VOC-18,y9-195-9f-define-electrolysis,9F,VOC,Vocabulary,1,Explain: electrolysis,9F word sheet / summary sheet
9I-VOC-01,y9-196-9i-define-balanced-forces,9I,VOC,Vocabulary,1,Explain: balanced forces,9I word sheet / summary sheet
9I-VOC-02,y9-197-9i-define-resultant-force,9I,VOC,Vocabulary,1,Explain: resultant force,9I word sheet / summary sheet
9I-VOC-03,y9-198-9i-define-air-resistance,9I,VOC,Vocabulary,1,Explain: air resistance,9I word sheet / summary sheet
9I-VOC-04,y9-199-9i-define-terminal-velocity,9I,VOC,Vocabulary,1,Explain: terminal velocity,9I word sheet / summary sheet
9I-VOC-05,y9-200-9i-define-energy-store,9I,VOC,Vocabulary,1,Explain: energy store,9I word sheet / summary sheet
9I-VOC-06,y9-201-9i-define-energy-transfer,9I,VOC,Vocabulary,1,Explain: energy transfer,9I word sheet / summary sheet
9I-VOC-07,y9-202-9i-define-efficiency,9I,VOC,Vocabulary,1,Explain: efficiency,9I word sheet / summary sheet
9I-VOC-08,y9-203-9i-define-speed,9I,VOC,Vocabulary,1,Explain: speed,9I word sheet / summary sheet
9I-VOC-09,y9-204-9i-define-mean-speed,9I,VOC,Vocabulary,1,Explain: mean speed,9I word sheet / summary sheet
9I-VOC-10,y9-205-9i-define-distance-time-graph,9I,VOC,Vocabulary,1,Explain: distance-time graph,9I word sheet / summary sheet
9I-VOC-11,y9-206-9i-define-lever,9I,VOC,Vocabulary,1,Explain: lever,9I word sheet / summary sheet
9I-VOC-12,y9-207-9i-define-pivot,9I,VOC,Vocabulary,1,Explain: pivot,9I word sheet / summary sheet
9I-VOC-13,y9-208-9i-define-moment,9I,VOC,Vocabulary,1,Explain: moment,9I word sheet / summary sheet
9I-VOC-14,y9-209-9i-define-simple-machine,9I,VOC,Vocabulary,2,Explain: simple machine,9I word sheet / summary sheet
9I-VOC-15,y9-210-9i-define-work-done,9I,VOC,Vocabulary,1,Explain: work done,9I word sheet / summary sheet
9J-VOC-01,y9-211-9j-define-force-field,9J,VOC,Vocabulary,1,Explain: force field,9J word sheet / summary sheet
9J-VOC-02,y9-212-9j-define-magnetic-field,9J,VOC,Vocabulary,1,Explain: magnetic field,9J word sheet / summary sheet
9J-VOC-03,y9-213-9j-define-gravitational-field,9J,VOC,Vocabulary,1,Explain: gravitational field,9J word sheet / summary sheet
9J-VOC-04,y9-214-9j-define-gravitational-field-strength,9J,VOC,Vocabulary,1,Explain: gravitational field strength,9J word sheet / summary sheet
9J-VOC-05,y9-215-9j-define-weight,9J,VOC,Vocabulary,1,Explain: weight,9J word sheet / summary sheet
9J-VOC-06,y9-216-9j-define-mass,9J,VOC,Vocabulary,1,Explain: mass,9J word sheet / summary sheet
9J-VOC-07,y9-217-9j-define-gravitational-potential-energy,9J,VOC,Vocabulary,1,Explain: gravitational potential energy,9J word sheet / summary sheet
9J-VOC-08,y9-218-9j-define-electric-field,9J,VOC,Vocabulary,1,Explain: electric field,9J word sheet / summary sheet
9J-VOC-09,y9-219-9j-define-static-electricity,9J,VOC,Vocabulary,1,Explain: static electricity,9J word sheet / summary sheet
9J-VOC-10,y9-220-9j-define-electric-current,9J,VOC,Vocabulary,1,Explain: electric current,9J word sheet / summary sheet
9J-VOC-11,y9-221-9j-define-series-circuit,9J,VOC,Vocabulary,1,Explain: series circuit,9J word sheet / summary sheet
9J-VOC-12,y9-222-9j-define-parallel-circuit,9J,VOC,Vocabulary,1,Explain: parallel circuit,9J word sheet / summary sheet
9J-VOC-13,y9-223-9j-define-voltage,9J,VOC,Vocabulary,1,Explain: voltage / potential difference,9J word sheet / summary sheet
9J-VOC-14,y9-224-9j-define-resistance,9J,VOC,Vocabulary,1,Explain: resistance,9J word sheet / summary sheet
9J-VOC-15,y9-225-9j-define-ohm,9J,VOC,Vocabulary,1,Explain: ohm,9J word sheet / summary sheet
9J-VOC-16,y9-226-9j-define-electromagnet,9J,VOC,Vocabulary,1,Explain: electromagnet,9J word sheet / summary sheet
9J-VOC-17,y9-227-9j-define-relay,9J,VOC,Vocabulary,2,Explain: relay,9J word sheet / summary sheet
9J-VOC-18,y9-228-9j-define-motor-effect,9J,VOC,Vocabulary,1,Explain: motor effect,9J word sheet / summary sheet
9A-WE-01,y9-229-9a-describe-what-environmental-variation-is,9A,WE,Progress check,2,Describe what environmental variation is.,9A revision worksheet
9A-WE-02,y9-230-9a-give-three-examples-of-environmental-variation-in-plants,9A,WE,Progress check,2,Give three examples of environmental variation in plants.,9A revision worksheet
9A-WE-03,y9-231-9a-give-three-examples-of-environmental-variation-in-humans,9A,WE,Progress check,2,Give three examples of environmental variation in humans.,9A revision worksheet
9A-WE-04,y9-232-9a-define-classification,9A,WE,Assess check,2,Why do scientists classify organisms using similarities and differences?,9A revision worksheet
9A-WE-05,y9-233-9a-define-species,9A,WE,Apply check,3,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?",9A revision worksheet
9A-WE-06,y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,WE,Progress check,3,Explain how environmental variation can cause problems with classification.,9A revision worksheet
9A-WE-07,y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,WE,Progress check,2,Describe what happens during fertilisation and what is formed.,9A revision worksheet
9A-WE-08,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,WE,Progress check,3,"Describe how chromosomes, DNA and genes are linked together.",9A revision worksheet
9A-WE-09,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,WE,Progress check,2,State three ways we can preserve biodiversity.,9A revision worksheet
9A-WE-10,y9-238-9a-describe-natural-selection,9A,WE,Progress check,4,Describe natural selection.,9A revision worksheet
9B-WE-01,y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,WE,Progress check,2,State where a plant gets the reactants it needs for photosynthesis.,9B Plant Growth PPT progress check slide 14
9B-WE-02,y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,WE,Progress check,3,Describe what happens to the products of photosynthesis.,9B Plant Growth PPT progress check slide 14
9B-WE-03,y9-241-9b-describe-what-a-limiting-factor-is,9B,WE,Progress check,2,Describe what a limiting factor is.,9B Plant Growth PPT progress check slide 14
9B-WE-04,y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,WE,Progress check,2,Suggest when photosynthesis might occur in plants.,9B Plant Growth PPT progress check slide 14
9B-WE-05,y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,WE,Progress check,3,Describe the route water takes from soil to a leaf.,9B Plant Growth PPT progress check slide 43
9B-WE-06,y9-244-9b-explain-the-structure-of-xylem-vessels,9B,WE,Progress check,3,Explain the structure of xylem vessels.,9B Plant Growth PPT progress check slide 43
9B-WE-07,y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,9B,WE,Progress check,2,State the cells that control gas exchange in leaves.,9B Plant Growth PPT progress check slide 48
9B-WE-08,y9-246-9b-suggest-why-stomata-shut-at-night,9B,WE,Progress check,3,Suggest why stomata shut at night.,9B Plant Growth PPT progress check slide 48
9B-WE-09,y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,9B,WE,Progress check,3,Draw or describe the relationship between glucose and starch.,9B Plant Growth PPT progress check slide 62
9B-WE-10,y9-248-9b-suggest-why-seeds-need-starch,9B,WE,Progress check,3,Suggest why seeds need starch.,9B Plant Growth PPT progress check slide 62
9E-WE-01,y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,WE,Progress check,5,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include.",9E assess yourself
9E-WE-02,y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,WE,Progress check,4,Explain how properties of ceramics link to bonding and structure.,9E assess yourself
9E-WE-03,y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,WE,Progress check,3,Explain why composites often have better properties than their separate materials.,9E assess yourself
9E-WE-04,y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,WE,Progress check,3,Explain one environmental problem caused by making materials.,9E summary sheet / assess yourself
9F-WE-01,y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,WE,Progress check,5,Prepare a talk: what should be included on extracting iron and preventing rusting?,9F assess yourself
9F-WE-02,y9-253a-9f-describe-how-iron-is-extracted-from-iron-ore,9F,WE,Progress check,4,Describe how iron is extracted from iron ore.,9F assess yourself - split from extraction/rusting talk prompt
9F-WE-03,y9-253b-9f-explain-two-ways-rusting-can-be-prevented,9F,WE,Progress check,4,Explain two ways rusting can be prevented.,9F assess yourself - split from extraction/rusting talk prompt
9F-WE-04,y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,WE,Progress check,3,Why is a metal oxide reduced when carbon extracts a metal?,9F summary sheet / assess yourself
9F-WE-05,y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,WE,Progress check,3,Explain why aluminium is extracted by electrolysis rather than carbon reduction.,9F quick quiz / summary sheet
9F-WE-06,y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,WE,Progress check,3,Explain why rusting is a problem and name two prevention methods.,9F assess yourself
9I-WE-02,y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,WE,Progress check,5,"Describe how to raise a large upright stone using levers, moments and ramps.",9I assess yourself
9I-WE-03,y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,WE,Progress check,3,Explain why a shallow ramp needs less force but more distance.,9I assess yourself / simple machines
9I-CALC-01,y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,CALC,Progress check,2,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.,9Ja Force Fields PPT Guardians calculation
9I-CALC-02,y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,CALC,Progress check,3,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.,9Ja Force Fields PPT Guardians calculation
9I-CALC-03,y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,CALC,Progress check,3,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.,9Ja Force Fields PPT Guardians calculation
9J-WE-01,y9-262-9j-describe-what-an-electromagnet-is-and-how-its-magnetic-field-is-shaped,9J,WE,Progress check,2,Describe what an electromagnet is and how its magnetic field is shaped.,9Je Electromagnets PPT
9J-WE-02,y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,WE,Progress check,2,How can the strength of an electromagnet be increased?,9Je Electromagnets PPT
9J-WE-03,y9-264-9j-explain-how-a-relay-works,9J,WE,Progress check,4,Explain how a relay works.,9Je Electromagnets PPT / word sheet
9J-WE-04,y9-265-9j-describe-the-difference-between-current-and-voltage,9J,WE,Progress check,2,Describe the difference between current and voltage / potential difference.,9Jc Current Electricity PPT
9J-WE-05,y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,WE,Progress check,3,Explain why plastic handles are safe on electrical wires.,9Jd Resistance PPT progress check
9J-WE-06,y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,WE,Progress check,4,Describe how to test whether resistance depends on wire length.,9Jd Resistance PPT exam-style question
9J-CALC-01,y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,CALC,Calculation,3,Calculate weight: mass = 34 kg and gravitational field strength = 6.8 N/kg.,9Ja Force Fields PPT Guardians calculation
9J-CALC-02,y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,CALC,Calculation,4,A person has weight 686 N and mass 56 kg. Calculate gravitational field strength.,9Ja Force Fields PPT Guardians calculation
9J-CALC-03,y9-270-9j-a-component-has-voltage-10-v-and-current-0-5-a-calculate-resistance,9J,CALC,Calculation,2,A component has voltage 10 V and current 0.5 A. Calculate resistance.,9Jd Resistance PPT modelled answer
9J-CALC-04,y9-271-9j-a-resistor-has-voltage-6-v-and-current-0-2-a-calculate-resistance,9J,CALC,Calculation,2,A resistor has voltage 6 V and current 0.2 A. Calculate resistance.,9Jd Resistance formula practice
9I-CALC-04,y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,9I,CALC,Calculation,2,A cyclist travels 12 km in 0.5 h. Calculate mean speed.,9I speed summary / quick quiz style
9I-CALC-05,y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,CALC,Calculation,2,A force of 40 N moves a box 3 m. Calculate work done.,9I simple machines / work done
9I-CALC-06,y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,CALC,Calculation,2,A 5 N force acts 0.4 m from a pivot. Calculate the moment.,9I moments quick quiz style
9A-WE-11,y9x-001-9a-state-what-variation-is,9A,WE,Assess check,1,State what variation is.,9A assess-yourself success criterion 01
9A-WE-12,y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,WE,Assess check,2,Outline why dinosaurs became extinct.,9A assess-yourself success criterion 02
9A-WE-13,y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,WE,Assess check,3,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey.",9A assess-yourself success criterion 03
9A-WE-14,y9x-004-9a-identify-examples-of-environmental-variation,9A,WE,Assess check,1,Identify examples of environmental variation.,9A assess-yourself success criterion 04
9A-WE-15,y9x-005-9a-identify-examples-of-inherited-variation,9A,WE,Assess check,1,Identify examples of inherited variation.,9A assess-yourself success criterion 05
9A-WE-16,y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,WE,Assess check,3,Explain how changes in an ecosystem can cause extinction.,9A assess-yourself success criterion 06
9A-WE-17,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,WE,Assess check,2,Identify adaptations of Triceratops that could be labelled on a model.,9A assess-yourself success criterion 07
9A-WE-18,y9x-008-9a-explain-how-environmental-variation-is-caused,9A,WE,Assess check,2,Explain how environmental variation is caused.,9A assess-yourself success criterion 08
9A-WE-19,y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,WE,Assess check,2,Outline how some variation is inherited from parents.,9A assess-yourself success criterion 09
9A-WE-20,y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,WE,Assess check,3,Explain how Triceratops adaptations helped survival.,9A assess-yourself success criterion 10
9A-WE-21,y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,WE,Assess check,3,Identify and explain Triceratops adaptations beyond the obvious labels.,9A assess-yourself success criterion 11
9A-WE-22,y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,WE,Assess check,3,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information.",9A assess-yourself success criterion 12
9A-WE-23,y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,WE,Assess check,3,Describe how variation in adaptations affects survival within a species.,9A assess-yourself success criterion 13
9A-WE-24,y9x-014-9a-state-what-evolution-is,9A,WE,Assess check,1,State what evolution is.,9A assess-yourself success criterion 14
9A-WE-25,y9x-015-9a-explain-how-natural-selection-works,9A,WE,Assess check,4,Explain how natural selection works.,9A assess-yourself success criterion 15
9B-WE-11,y9x-016-9b-name-some-common-crop-plants,9B,WE,Assess check,1,Name some common crop plants.,9B assess-yourself success criterion 01
9B-WE-12,y9x-017-9b-explain-why-it-is-important-to-look-after-crop-plants,9B,WE,Assess check,2,Explain why it is important to look after crop plants.,9B assess-yourself success criterion 02
9B-WE-13,y9x-018-9b-state-that-plants-make-their-own-food,9B,WE,Assess check,1,State that plants make their own food.,9B assess-yourself success criterion 03
9B-WE-14,y9x-019-9b-recall-the-resources-plants-need-to-grow-well,9B,WE,Assess check,1,Recall the resources plants need to grow well.,9B assess-yourself success criterion 04
9B-WE-15,y9x-020-9b-list-chemical-substances-farmers-may-apply-to-crops,9B,WE,Assess check,1,List chemical substances farmers may apply to crops.,9B assess-yourself success criterion 05
9B-WE-16,y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,WE,Assess check,2,"Describe photosynthesis in terms of reactants, products and energy source.",9B assess-yourself success criterion 06
9B-WE-17,y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,WE,Assess check,3,"Explain how leaves, roots and stems help photosynthesis.",9B assess-yourself success criterion 07
9B-WE-18,y9x-023-9b-explain-why-insecticides-and-fungicides-are-used-on-crop-plants,9B,WE,Assess check,2,Explain why insecticides and fungicides are used on crop plants.,9B assess-yourself success criterion 08
9B-WE-19,y9x-024-9b-explain-why-herbicides-or-weedkillers-are-used-on-crop-plants,9B,WE,Assess check,2,Explain why herbicides or weedkillers are used on crop plants.,9B assess-yourself success criterion 09
9B-WE-20,y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,WE,Assess check,2,Explain how fertilisers help crop plants grow well.,9B assess-yourself success criterion 10
9B-WE-21,y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,WE,Assess check,2,Use word equations for photosynthesis and aerobic respiration.,9B assess-yourself success criterion 11
9B-WE-22,y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,WE,Assess check,3,Explain what happens when plants lack water or mineral salts.,9B assess-yourself success criterion 12
9B-WE-23,y9x-028-9b-describe-substances-made-in-plants-and-their-uses,9B,WE,Assess check,3,Describe substances made in plants and their uses.,9B assess-yourself success criterion 13
9B-WE-24,y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,WE,Assess check,2,Explain that chlorophyll traps energy transferred by light.,9B assess-yourself success criterion 14
9B-WE-25,y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,WE,Assess check,4,Explain how farming can change the carbon cycle.,9B assess-yourself success criterion 15
9B-WE-26,y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,WE,Assess check,4,"Explain problems caused by fertilisers, including effects on fish in lakes.",9B assess-yourself success criterion 16
9B-WE-27,y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,WE,Assess check,4,"Explain problems caused by pesticides, including persistent insecticides.",9B assess-yourself success criterion 17
9B-WE-28,y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,WE,Assess check,3,Describe how limiting factors stop photosynthesis rate increasing.,9B assess-yourself success criterion 18
9E-WE-05,y9x-034-9e-name-common-conductors-and-insulators,9E,WE,Assess check,1,Name common conductors and insulators.,9E assess-yourself success criterion 01
9E-WE-06,y9x-035-9e-explain-what-a-landfill-site-is-and-why-it-can-cause-problems,9E,WE,Assess check,2,Explain what a landfill site is and why it can cause problems.,9E assess-yourself success criterion 02
9E-WE-07,y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,WE,Assess check,1,"Name examples of ceramic, polymer and composite materials.",9E assess-yourself success criterion 03
9E-WE-08,y9x-037-9e-name-the-main-source-of-raw-materials-for-making-polymers,9E,WE,Assess check,1,Name the main source of raw materials for making polymers.,9E assess-yourself success criterion 04
9E-WE-09,y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,9E,WE,Assess check,2,Describe the difference between biodegradable and non-biodegradable polymers.,9E assess-yourself success criterion 05
9E-WE-10,y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,9E,WE,Assess check,3,Describe pollution problems caused by burning fossil fuels.,9E assess-yourself success criterion 06
9E-WE-11,y9x-040-9e-describe-what-a-composite-material-is,9E,WE,Assess check,2,Describe what a composite material is.,9E assess-yourself success criterion 07
9E-WE-12,y9x-041-9e-describe-problems-caused-by-disposal-of-artificial-polymers,9E,WE,Assess check,3,Describe problems caused by disposal of artificial polymers.,9E assess-yourself success criterion 08
9E-WE-13,y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,WE,Assess check,4,Explain the causes and problems of acid rain and the greenhouse effect.,9E assess-yourself success criterion 09
9E-WE-14,y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,WE,Assess check,3,"Link uses of ceramics, polymers and composites to their properties.",9E assess-yourself success criterion 10
9E-WE-15,y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,WE,Assess check,2,Describe how polymers are formed from monomers.,9E assess-yourself success criterion 11
9E-WE-16,y9x-045-9e-identify-thermal-decomposition-reactions,9E,WE,Assess check,2,Identify thermal decomposition reactions.,9E assess-yourself success criterion 12
9E-WE-17,y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,WE,Assess check,3,Explain advantages of recycling with specific examples.,9E assess-yourself success criterion 13
9E-WE-18,y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,WE,Assess check,4,"Justify using a ceramic, polymer or composite for a particular use.",9E assess-yourself success criterion 14
9E-WE-19,y9x-048-9e-explain-how-crystal-size-depends-on-cooling-speed,9E,WE,Assess check,3,Explain how crystal size depends on cooling speed.,9E assess-yourself success criterion 15
9E-WE-20,y9x-049-9e-explain-how-properties-of-a-material-depend-on-bonding-and-structure,9E,WE,Assess check,4,Explain how properties of a material depend on bonding and structure.,9E assess-yourself success criterion 16
9E-WE-21,y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,WE,Assess check,3,Classify exothermic and endothermic reactions by temperature change and energy transfer.,9E assess-yourself success criterion 17
9E-WE-22,y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,WE,Assess check,4,Explain biomagnification of toxins through food chains.,9E assess-yourself success criterion 18
9E-WE-23,y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,WE,Assess check,3,Suggest ways to reduce global warming and acid rain impacts.,9E assess-yourself success criterion 19
9F-WE-07,y9x-053-9f-describe-what-causes-rusting,9F,WE,Assess check,2,Describe what causes rusting.,9F assess-yourself success criterion 01
9F-WE-08,y9x-054-9f-describe-one-simple-method-of-preventing-rusting,9F,WE,Assess check,1,Describe one simple method of preventing rusting.,9F assess-yourself success criterion 02
9F-WE-09,y9x-055-9f-explain-why-rusting-is-a-problem,9F,WE,Assess check,2,Explain why rusting is a problem.,9F assess-yourself success criterion 03
9F-WE-10,y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,9F,WE,Assess check,3,Use scientific words to explain how iron rusts.,9F assess-yourself success criterion 04
9F-WE-11,y9x-057-9f-explain-why-iron-or-steel-is-used-for-a-purpose-because-of-its-properties,9F,WE,Assess check,2,Explain why iron or steel is used for a purpose because of its properties.,9F assess-yourself success criterion 05
9F-WE-12,y9x-058-9f-describe-how-iron-ore-is-obtained-from-mining,9F,WE,Assess check,2,Describe how iron ore is obtained from mining.,9F assess-yourself success criterion 06
9F-WE-13,y9x-059-9f-use-word-equations-to-describe-reactions,9F,WE,Assess check,2,Use word equations to describe reactions.,9F assess-yourself success criterion 07
