id,unit,type,level,learningObjectiveTitle,question,answer,source,sourceRegistryIds,sourceExcerpt,sourceUrls
y9cgp-067-F-periodic-table-bridge-where-are-metals-usually-found-in-the-periodic-table,9F,Progress check,1,Periodic table bridge,Where are metals usually found in the periodic table?,Metals are usually found on the left and in the middle of the periodic table.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-068-F-periodic-table-bridge-give-two-general-properties-of-metals,9F,Progress check,2,Periodic table bridge,Give two general properties of metals.,Metals are usually good electrical conductors and thermal conductors. Many are also shiny and malleable.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-069-F-periodic-table-bridge-give-two-general-properties-of-non-metals,9F,Progress check,2,Periodic table bridge,Give two general properties of non-metals.,Non-metals are usually poor conductors and are often dull or brittle when solid.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-070-F-periodic-table-bridge-which-group-contains-the-alkali-metals,9F,Quick quiz,2,Periodic table bridge,Which group contains the alkali metals?,A,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-071-F-periodic-table-bridge-describe-the-reactivity-trend-down-group-1,9F,Progress check,2,Periodic table bridge,Describe the reactivity trend down Group 1.,Group 1 metals become more reactive down the group.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-072-F-periodic-table-bridge-which-group-contains-the-halogens,9F,Quick quiz,2,Periodic table bridge,Which group contains the halogens?,C,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-073-F-periodic-table-bridge-describe-the-reactivity-trend-down-group-7,9F,Progress check,3,Periodic table bridge,Describe the reactivity trend down Group 7.,Group 7 non-metals become less reactive down the group.,9F Summary sheet p2 Atomic structure; CGP KS3 Year 9 Topic 7 Periodic table; Oak periodic table lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PERIODIC;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/patterns-in-the-periodic-table/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-074-E-climate-bridge-define-greenhouse-gas,9E,Vocabulary,1,Climate and greenhouse gases,Define: greenhouse gas,"A gas that helps trap heat in the atmosphere, such as carbon dioxide.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,"A gas that helps trap heat in the atmosphere, such as carbon dioxide.",https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-075-E-climate-bridge-define-global-warming,9E,Vocabulary,1,Climate and greenhouse gases,Define: global warming,Global warming is an increase in Earth’s average surface temperature.,9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-076-E-climate-bridge-what-causes-the-natural-greenhouse-effect,9E,Progress check,2,Climate and greenhouse gases,What causes the natural greenhouse effect?,"Greenhouse gases in Earth’s atmosphere absorb and re-emit thermal radiation, keeping Earth warmer than it would otherwise be.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature,9E,Apply check,3,Climate and greenhouse gases,Why can extra greenhouse gases increase global temperature?,"Extra greenhouse gases strengthen the greenhouse effect, so more thermal energy is retained in the atmosphere and average temperature rises.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-078-E-climate-bridge-which-gas-is-commonly-released-by-burning-fossil-fuels,9E,Quick quiz,1,Climate and greenhouse gases,Which gas is commonly released by burning fossil fuels?,B,9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-079-E-climate-bridge-give-two-examples-of-evidence-used-for-global-warming,9E,Progress check,3,Climate and greenhouse gases,Give two examples of evidence used for global warming.,"Examples include temperature measurements, ice-core data, tree-ring data, glacier changes and sea-level measurements.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-080-E-climate-bridge-how-can-cutting-fossil-fuel-use-help-reduce-global-warming,9E,Progress check,2,Climate and greenhouse gases,How can cutting fossil fuel use help reduce global warming?,"Cutting fossil fuel use reduces carbon dioxide emissions, which can slow the increase in greenhouse gases.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-081-E-climate-bridge-explain-one-environmental-problem-caused-by-making-materials,9E,Apply check,3,Climate and greenhouse gases,Explain one environmental problem caused by making materials.,"Making materials can burn fossil fuels, releasing carbon dioxide; some processes also release toxins or sulfur dioxide.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,"Making materials can burn fossil fuels, releasing carbon dioxide; some processes also release toxins or sulfur dioxide.",https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-082-E-climate-bridge-which-action-would-most-directly-reduce-carbon-dioxide-emiss,9E,Quick quiz,2,Climate and greenhouse gases,Which action would most directly reduce carbon dioxide emissions from energy use?,D,9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-083-E-climate-bridge-why-is-climate-change-more-than-just-one-hot-day,9E,Progress check,2,Climate and greenhouse gases,Why is climate change more than just “one hot day”?,"Climate change means long-term changes in average conditions and patterns, not a single weather event.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-084-E-climate-bridge-why-do-scientists-compare-modern-temperatures-with-long-term,9E,Apply check,3,Climate and greenhouse gases,Why do scientists compare modern temperatures with long-term averages?,Long-term averages help show whether recent temperatures are unusual compared with normal variation.,9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-085-E-climate-bridge-explain-why-a-correlation-between-greenhouse-gas-emissions-a,9E,Challenge check,4,Climate and greenhouse gases,Explain why a correlation between greenhouse gas emissions and temperature is important but not the only evidence needed.,"A correlation shows the two have changed together, but scientists also need mechanisms and other evidence to explain why increased greenhouse gases cause warming.",9E environmental impacts/greenhouse gas revision content; CGP KS3 Year 9 Topic 11 Climate; Oak climate lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CLIMATE;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/climate-change-and-greenhouse-gases/lessons;local:data/year9-content.js and data/year9-notes.js
y9cgp-096-F-chemical-energy-bridge-define-exothermic-reaction,9F,Vocabulary,1,Chemical energy bridge,Define: exothermic reaction,A reaction that transfers energy to the surroundings.,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,A reaction that transfers energy to the surroundings.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-097-F-chemical-energy-bridge-define-endothermic-reaction,9F,Vocabulary,1,Chemical energy bridge,Define: endothermic reaction,A reaction that takes in energy from the surroundings.,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,A reaction that takes in energy from the surroundings.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-098-F-chemical-energy-bridge-what-do-exothermic-reactions-do-to-the-surroundings,9F,Progress check,2,Chemical energy bridge,What do exothermic reactions do to the surroundings?,Exothermic reactions transfer energy into the surroundings and so increase the temperature around them.,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,Exothermic reactions transfer energy into the surroundings and so increase the temperature around them.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-099-F-chemical-energy-bridge-what-do-endothermic-reactions-do-to-the-surroundings,9F,Progress check,2,Chemical energy bridge,What do endothermic reactions do to the surroundings?,Endothermic reactions transfer energy from the surroundings and so decrease the temperature around them.,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,Endothermic reactions transfer energy from the surroundings and so decrease the temperature around them.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-100-F-chemical-energy-bridge-a-reaction-mixture-starts-at-20-c-and-ends-at-28-c-what-type,9F,Quick quiz,2,Chemical energy bridge,A reaction mixture starts at 20°C and ends at 28°C. What type of reaction is it?,A,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-101-F-chemical-energy-bridge-a-reaction-mixture-starts-at-22-c-and-falls-to-16-c-what-typ,9F,Quick quiz,2,Chemical energy bridge,A reaction mixture starts at 22°C and falls to 16°C. What type of reaction is it?,B,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-102-F-chemical-energy-bridge-why-should-temperature-be-measured-before-and-after-a-reacti,9F,Apply check,3,Chemical energy bridge,Why should temperature be measured before and after a reaction?,The temperature change shows whether the reaction transferred energy to the surroundings or took energy from the surroundings.,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-103-F-chemical-energy-bridge-give-one-example-of-an-endothermic-reaction-from-the-revisio,9F,Progress check,1,Chemical energy bridge,Give one example of an endothermic reaction from the revision sheet.,Thermal decomposition reactions.,9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,Thermal decomposition reactions.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-104-F-chemical-energy-bridge-why-is-combustion-usually-described-as-exothermic,9F,Apply check,2,Chemical energy bridge,Why is combustion usually described as exothermic?,"Combustion transfers energy to the surroundings, usually heating the surroundings and often producing light.",9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
y9cgp-105-F-chemical-energy-bridge-correct-the-misconception-a-cold-reaction-makes-cold-energy,9F,Challenge check,3,Chemical energy bridge,Correct the misconception: “A cold reaction makes cold energy.”,"There is no cold energy. In an endothermic reaction, energy is transferred from the surroundings to the reaction, so the surroundings get colder.",9E/9F Summary sheet exothermic and endothermic reactions; CGP KS3 Year 9 Topic 10 Chemical energy; Oak chemical energy lesson,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-CHEM-ENERGY;LOCAL-REVISION,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/fuels-and-energetics/lessons/exothermic-and-endothermic-chemical-reactions;local:data/year9-content.js and data/year9-notes.js
